orf	abb	genome
GVMAG-S-ERX555967-69.fna|ERX555967_contig_2880_2	ncldv_274	GVMAG-S-ERX555967-69
GVMAG-S-ERX555997-44.fna|ERX555997_contig_456_3	ncldv_275	GVMAG-S-ERX555997-44
GVMAG-S-ERX556019-34.fna|ERX556019_contig_514_6	ncldv_276	GVMAG-S-ERX556019-34
GVMAG-S-ERX556022-25.fna|ERX556022_contig_53_19	ncldv_277	GVMAG-S-ERX556022-25
GVMAG-S-ERX556028-72.fna|ERX556028_contig_34_58	ncldv_278	GVMAG-S-ERX556028-72
GVMAG-S-ERX556045-52.fna|ERX556045_contig_356_39	ncldv_279	GVMAG-S-ERX556045-52
GVMAG-S-ERX556045-52.fna|ERX556045_contig_773_13	ncldv_280	GVMAG-S-ERX556045-52
GVMAG-S-ERX556045-73.fna|ERX556045_contig_96_63	ncldv_281	GVMAG-S-ERX556045-73
GVMAG-S-ERX556049-19.fna|ERX556049_contig_46_28	ncldv_282	GVMAG-S-ERX556049-19
GVMAG-S-ERX556133-39.fna|ERX556133_contig_46_34	ncldv_283	GVMAG-S-ERX556133-39
GX_tailings_bin.15.fa:GX_tailings_Scaff0041861_19	ncldv_284	GX.tailings.bin.15.fa
GZ_tailings_bin.3.fa:GZ_tailings_Scaff212909_13	ncldv_285	GZ.tailings.bin.3.fa
JX_T_bins.9-JX_tailings_Scaff2299436_13	ncldv_286	JX.T.bins.9.fa
Marseillevirus_LCMAC103.fna|MK500341.1_26	ncldv_287	Marseillevirus.LCMAC103
medusavirus.fna|AP018495.1_468	ncldv_288	medusavirus
oPacV_421.fasta|MN448294.1_42	ncldv_289	oPacV.421
oPacV_662.fasta|MN448280.1_22	ncldv_290	oPacV.662
PoV01b.fna|POV01B_5_16	ncldv_291	PoV01b
SRX802073.53.dc.fa|contig_3671_12	ncldv_292	SRX802073.53.dc
SRX802073.61.dc.fa|contig_20756_19	ncldv_293	SRX802073.61.dc
SRX802073.74.dc.fa|contig_1750_25	ncldv_294	SRX802073.74.dc
SRX802077.72.dc.fa|contig_8496_14	ncldv_295	SRX802077.72.dc
SRX802077.94.dc.fa|contig_36906_11	ncldv_296	SRX802077.94.dc
SRX802143.26.dc.fa|contig_28156_4	ncldv_297	SRX802143.26.dc
SRX802143.64.dc.fa|contig_22453_19	ncldv_298	SRX802143.64.dc
SRX802189.102.dc.fa|contig_7652_49	ncldv_299	SRX802189.102.dc
SRX802189.37.dc.fa|contig_35238_20	ncldv_300	SRX802189.37.dc
SRX802189.83.dc.fa|contig_4244_34	ncldv_301	SRX802189.83.dc
YN_tailings_bin.11.fa:YN_tailings_Scaff0163290_30	ncldv_302	YN.tailings.bin.11.fa
YN_tailings_bin.13.fa:YN_tailings_Scaff0261685_1	ncldv_303	YN.tailings.bin.13.fa
DTR_010621_348	phage_1	DTR_010621
DTR_022094_128	phage_2	DTR_022094
DTR_022094_396	phage_3	DTR_022094
DTR_024114_149	phage_4	DTR_024114
DTR_043154_103	phage_5	DTR_043154
DTR_048777_253	phage_6	DTR_048777
DTR_051837_49	phage_7	DTR_051837
DTR_063178_98	phage_8	DTR_063178
DTR_063661_49	phage_9	DTR_063661
DTR_064109_200	phage_10	DTR_064109
DTR_064762_36	phage_11	DTR_064762
DTR_064994_230	phage_12	DTR_064994
DTR_074045_30	phage_13	DTR_074045
DTR_075116_15	phage_14	DTR_075116
DTR_075700_91	phage_15	DTR_075700
DTR_076969_146	phage_16	DTR_076969
DTR_077514_125	phage_17	DTR_077514
DTR_078514_101	phage_18	DTR_078514
DTR_078535_7	phage_19	DTR_078535
DTR_088619_203	phage_20	DTR_088619
DTR_088973_154	phage_21	DTR_088973
DTR_091829_29	phage_22	DTR_091829
DTR_095513_129	phage_23	DTR_095513
DTR_096860_36	phage_24	DTR_096860
DTR_096967_68	phage_25	DTR_096967
DTR_097059_74	phage_26	DTR_097059
DTR_097187_193	phage_27	DTR_097187
DTR_097541_19	phage_28	DTR_097541
DTR_099546_116	phage_29	DTR_099546
DTR_099924_218	phage_30	DTR_099924
DTR_100025_26	phage_31	DTR_100025
DTR_100812_278	phage_32	DTR_100812
DTR_101940_210	phage_33	DTR_101940
DTR_102634_141	phage_34	DTR_102634
DTR_102751_24	phage_35	DTR_102751
DTR_103478_32	phage_36	DTR_103478
DTR_103504_173	phage_37	DTR_103504
DTR_103666_41	phage_38	DTR_103666
DTR_113061_19	phage_39	DTR_113061
DTR_113371_191	phage_40	DTR_113371
DTR_113422_58	phage_41	DTR_113422
DTR_128960_178	phage_42	DTR_128960
DTR_132303_218	phage_43	DTR_132303
DTR_141285_13	phage_44	DTR_141285
DTR_143157_143	phage_45	DTR_143157
DTR_150641_317	phage_46	DTR_150641
DTR_150642_111	phage_47	DTR_150642
DTR_153177_29	phage_48	DTR_153177
DTR_153342_160	phage_49	DTR_153342
DTR_153859_180	phage_50	DTR_153859
DTR_154082_109	phage_51	DTR_154082
DTR_154361_91	phage_52	DTR_154361
DTR_154415_189	phage_53	DTR_154415
DTR_154438_70	phage_54	DTR_154438
DTR_157065_95	phage_55	DTR_157065
DTR_168633_95	phage_56	DTR_168633
DTR_170744_3	phage_57	DTR_170744
DTR_174006_27	phage_58	DTR_174006
DTR_174007_269	phage_59	DTR_174007
DTR_174398_146	phage_60	DTR_174398
DTR_178392_99	phage_61	DTR_178392
DTR_179885_342	phage_62	DTR_179885
DTR_183200_453	phage_63	DTR_183200
DTR_187069_79	phage_64	DTR_187069
DTR_187805_7	phage_65	DTR_187805
DTR_188051_56	phage_66	DTR_188051
DTR_196219_37	phage_67	DTR_196219
DTR_196602_565	phage_68	DTR_196602
DTR_196606_118	phage_69	DTR_196606
DTR_196611_43	phage_70	DTR_196611
DTR_200404_81	phage_71	DTR_200404
DTR_201378_21	phage_72	DTR_201378
DTR_220175_140	phage_73	DTR_220175
DTR_223886_106	phage_74	DTR_223886
DTR_224513_72	phage_75	DTR_224513
DTR_224514_99	phage_76	DTR_224514
DTR_226384_605	phage_77	DTR_226384
DTR_236565_505	phage_78	DTR_236565
DTR_238492_156	phage_79	DTR_238492
DTR_244695_34	phage_80	DTR_244695
DTR_245193_194	phage_81	DTR_245193
DTR_245695_179	phage_82	DTR_245695
DTR_247200_306	phage_83	DTR_247200
DTR_252375_84	phage_84	DTR_252375
DTR_254589_449	phage_85	DTR_254589
DTR_254939_16	phage_86	DTR_254939
DTR_256120_245	phage_87	DTR_256120
DTR_257594_130	phage_88	DTR_257594
DTR_257713_215	phage_89	DTR_257713
DTR_257894_37	phage_90	DTR_257894
DTR_257903_45	phage_91	DTR_257903
DTR_260515_64	phage_92	DTR_260515
DTR_260517_88	phage_93	DTR_260517
DTR_260519_189	phage_94	DTR_260519
DTR_262133_16	phage_95	DTR_262133
DTR_262842_154	phage_96	DTR_262842
DTR_266050_16	phage_97	DTR_266050
DTR_266632_38	phage_98	DTR_266632
DTR_271807_137	phage_99	DTR_271807
DTR_273983_43	phage_100	DTR_273983
DTR_274727_132	phage_101	DTR_274727
DTR_281301_16	phage_102	DTR_281301
DTR_285139_38	phage_103	DTR_285139
DTR_296179_171	phage_104	DTR_296179
DTR_300318_27	phage_105	DTR_300318
DTR_305180_374	phage_106	DTR_305180
DTR_309033_32	phage_107	DTR_309033
DTR_311881_74	phage_108	DTR_311881
DTR_314613_50	phage_109	DTR_314613
DTR_324190_60	phage_110	DTR_324190
DTR_324422_58	phage_111	DTR_324422
DTR_345172_33	phage_112	DTR_345172
DTR_345820_148	phage_113	DTR_345820
DTR_352881_419	phage_114	DTR_352881
DTR_355707_428	phage_115	DTR_355707
DTR_356024_40	phage_116	DTR_356024
DTR_357414_395	phage_117	DTR_357414
DTR_359873_23	phage_118	DTR_359873
DTR_359874_50	phage_119	DTR_359874
DTR_359876_39	phage_120	DTR_359876
DTR_360145_106	phage_121	DTR_360145
DTR_360146_103	phage_122	DTR_360146
DTR_363053_36	phage_123	DTR_363053
DTR_363282_164	phage_124	DTR_363282
DTR_365565_72	phage_125	DTR_365565
DTR_372098_58	phage_126	DTR_372098
DTR_373670_140	phage_127	DTR_373670
DTR_377359_154	phage_128	DTR_377359
DTR_380265_80	phage_129	DTR_380265
DTR_380954_56	phage_130	DTR_380954
DTR_381018_85	phage_131	DTR_381018
DTR_381688_58	phage_132	DTR_381688
DTR_382673_25	phage_133	DTR_382673
DTR_383375_44	phage_134	DTR_383375
DTR_384428_26	phage_135	DTR_384428
DTR_385506_59	phage_136	DTR_385506
DTR_386015_91	phage_137	DTR_386015
DTR_388978_61	phage_138	DTR_388978
DTR_389051_17	phage_139	DTR_389051
DTR_399400_157	phage_140	DTR_399400
DTR_405410_29	phage_141	DTR_405410
DTR_405819_63	phage_142	DTR_405819
DTR_405932_46	phage_143	DTR_405932
DTR_407797_100	phage_144	DTR_407797
DTR_408161_8	phage_145	DTR_408161
DTR_408772_245	phage_146	DTR_408772
DTR_409075_219	phage_147	DTR_409075
DTR_409175_61	phage_148	DTR_409175
DTR_409404_128	phage_149	DTR_409404
DTR_409977_60	phage_150	DTR_409977
DTR_410559_119	phage_151	DTR_410559
DTR_410793_183	phage_152	DTR_410793
DTR_410932_35	phage_153	DTR_410932
DTR_410954_214	phage_154	DTR_410954
DTR_411073_32	phage_155	DTR_411073
DTR_411708_148	phage_156	DTR_411708
DTR_412185_111	phage_157	DTR_412185
DTR_413892_120	phage_158	DTR_413892
DTR_414038_57	phage_159	DTR_414038
DTR_414453_2	phage_160	DTR_414453
DTR_414467_32	phage_161	DTR_414467
DTR_414468_64	phage_162	DTR_414468
DTR_414884_103	phage_163	DTR_414884
DTR_415479_26	phage_164	DTR_415479
DTR_416363_15	phage_165	DTR_416363
DTR_416776_34	phage_166	DTR_416776
DTR_418429_46	phage_167	DTR_418429
DTR_426509_43	phage_168	DTR_426509
DTR_437827_290	phage_169	DTR_437827
DTR_440450_445	phage_170	DTR_440450
DTR_450015_25	phage_171	DTR_450015
DTR_483639_77	phage_172	DTR_483639
DTR_487414_40	phage_173	DTR_487414
DTR_491220_199	phage_174	DTR_491220
DTR_491411_123	phage_175	DTR_491411
DTR_500643_68	phage_176	DTR_500643
DTR_504866_35	phage_177	DTR_504866
DTR_508117_14	phage_178	DTR_508117
DTR_510253_47	phage_179	DTR_510253
DTR_537485_8	phage_180	DTR_537485
DTR_539559_213	phage_181	DTR_539559
DTR_547339_118	phage_182	DTR_547339
DTR_556181_116	phage_183	DTR_556181
DTR_569865_89	phage_184	DTR_569865
DTR_578210_50	phage_185	DTR_578210
DTR_578329_72	phage_186	DTR_578329
DTR_612840_39	phage_187	DTR_612840
DTR_613084_237	phage_188	DTR_613084
DTR_613514_52	phage_189	DTR_613514
DTR_613523_38	phage_190	DTR_613523
DTR_614007_62	phage_191	DTR_614007
DTR_618371_21	phage_192	DTR_618371
DTR_619243_31	phage_193	DTR_619243
DTR_619634_223	phage_194	DTR_619634
DTR_620727_34	phage_195	DTR_620727
DTR_620880_51	phage_196	DTR_620880
DTR_621076_28	phage_197	DTR_621076
DTR_621459_46	phage_198	DTR_621459
DTR_621567_86	phage_199	DTR_621567
DTR_621717_75	phage_200	DTR_621717
DTR_621762_39	phage_201	DTR_621762
DTR_621934_15	phage_202	DTR_621934
DTR_621976_377	phage_203	DTR_621976
DTR_621992_31	phage_204	DTR_621992
DTR_622055_44	phage_205	DTR_622055
DTR_622081_6	phage_206	DTR_622081
DTR_622423_93	phage_207	DTR_622423
DTR_622468_53	phage_208	DTR_622468
DTR_623118_81	phage_209	DTR_623118
DTR_623657_45	phage_210	DTR_623657
DTR_624838_271	phage_211	DTR_624838
DTR_628036_475	phage_212	DTR_628036
DTR_638555_78	phage_213	DTR_638555
DTR_647134_167	phage_214	DTR_647134
DTR_647539_40	phage_215	DTR_647539
DTR_651062_135	phage_216	DTR_651062
DTR_652004_125	phage_217	DTR_652004
DTR_670635_66	phage_218	DTR_670635
DTR_675276_111	phage_219	DTR_675276
DTR_680311_63	phage_220	DTR_680311
DTR_684392_31	phage_221	DTR_684392
DTR_684397_92	phage_222	DTR_684397
DTR_718741_14	phage_223	DTR_718741
DTR_718758_63	phage_224	DTR_718758
DTR_732530_51	phage_225	DTR_732530
DTR_780190_11	phage_226	DTR_780190
DTR_794088_308	phage_227	DTR_794088
DTR_811494_141	phage_228	DTR_811494
DTR_822529_51	phage_229	DTR_822529
DTR_831182_84	phage_230	DTR_831182
DTR_836420_253	phage_231	DTR_836420
DTR_862841_45	phage_232	DTR_862841
DTR_864506_407	phage_233	DTR_864506
DTR_864653_17	phage_234	DTR_864653
DTR_865725_64	phage_235	DTR_865725
DTR_865913_75	phage_236	DTR_865913
DTR_866891_126	phage_237	DTR_866891
DTR_872339_139	phage_238	DTR_872339
DTR_878223_101	phage_239	DTR_878223
DTR_878454_136	phage_240	DTR_878454
DTR_880310_426	phage_241	DTR_880310
DTR_883891_44	phage_242	DTR_883891
DTR_884061_39	phage_243	DTR_884061
DTR_884193_51	phage_244	DTR_884193
DTR_888924_428	phage_245	DTR_888924
DTR_890110_498	phage_246	DTR_890110
DTR_892199_7	phage_247	DTR_892199
DTR_893643_239	phage_248	DTR_893643
DTR_893688_64	phage_249	DTR_893688
GCA_000887715.1_101	phage_250	GCA_000887715.1
GCA_000897175.1_212	phage_251	GCA_000897175.1
GCA_000902455.1_150	phage_252	GCA_000902455.1
GCA_000903495.1_157	phage_253	GCA_000903495.1
GCA_000904415.1_110	phage_254	GCA_000904415.1
GCA_000905015.1_196	phage_255	GCA_000905015.1
GCA_000907195.1_178	phage_256	GCA_000907195.1
GCA_000910195.2_261	phage_257	GCA_000910195.2
GCA_000917535.1_118	phage_258	GCA_000917535.1
GCA_000925035.1_32	phage_259	GCA_000925035.1
GCA_000927595.1_32	phage_260	GCA_000927595.1
GCA_001308695.1_117	phage_261	GCA_001308695.1
GCA_001500375.1_90	phage_262	GCA_001500375.1
GCA_001500855.2_30	phage_263	GCA_001500855.2
GCA_001501135.1_239	phage_264	GCA_001501135.1
GCA_001502055.1_81	phage_265	GCA_001502055.1
GCA_001502895.2_30	phage_266	GCA_001502895.2
GCA_001504235.1_27	phage_267	GCA_001504235.1
GCA_001504355.1_77	phage_268	GCA_001504355.1
GCA_001504495.1_249	phage_269	GCA_001504495.1
GCA_001505635.1_39	phage_270	GCA_001505635.1
GCA_001505955.1_247	phage_271	GCA_001505955.1
GCA_001550705.1_75	phage_272	GCA_001550705.1
GCA_001550745.1_199	phage_273	GCA_001550745.1
GCA_001743735.1_51	phage_274	GCA_001743735.1
GCA_001744335.2_59	phage_275	GCA_001744335.2
GCA_001744355.1_54	phage_276	GCA_001744355.1
GCA_001744415.1_41	phage_277	GCA_001744415.1
GCA_001744435.1_49	phage_278	GCA_001744435.1
GCA_001744555.1_63	phage_279	GCA_001744555.1
GCA_001744615.1_49	phage_280	GCA_001744615.1
GCA_001744955.1_59	phage_281	GCA_001744955.1
GCA_001745055.1_52	phage_282	GCA_001745055.1
GCA_001745075.1_51	phage_283	GCA_001745075.1
GCA_001745735.1_51	phage_284	GCA_001745735.1
GCA_002604625.1_46	phage_285	GCA_002604625.1
GCA_002609265.1_309	phage_286	GCA_002609265.1
GCA_002609465.1_248	phage_287	GCA_002609465.1
GCA_002609765.1_242	phage_288	GCA_002609765.1
GCA_002618405.1_30	phage_289	GCA_002618405.1
GCA_002623565.1_41	phage_290	GCA_002623565.1
GCA_002624965.1_2	phage_291	GCA_002624965.1
GCA_002625005.1_1	phage_292	GCA_002625005.1
GCA_002629065.1_114	phage_293	GCA_002629065.1
GCA_002743635.1_351	phage_294	GCA_002743635.1
GCA_002757135.1_258	phage_295	GCA_002757135.1
GCA_002957755.1_125	phage_296	GCA_002957755.1
GCA_002957915.1_54	phage_297	GCA_002957915.1
GCA_002990895.1_67	phage_298	GCA_002990895.1
GCA_003034755.1_60	phage_299	GCA_003034755.1
GCA_003093935.2_264	phage_300	GCA_003093935.2
GCA_003183805.1_108	phage_301	GCA_003183805.1
GCA_003226635.1_23	phage_302	GCA_003226635.1
GCA_003443095.1_33	phage_303	GCA_003443095.1
GCA_003443155.1_33	phage_304	GCA_003443155.1
GCA_003555485.1_24	phage_305	GCA_003555485.1
GCA_003575885.1_52	phage_306	GCA_003575885.1
GCA_003606155.1_34	phage_307	GCA_003606155.1
GCA_003606175.1_51	phage_308	GCA_003606175.1
GCA_003718815.1_160	phage_309	GCA_003718815.1
GCA_003722595.1_114	phage_310	GCA_003722595.1
GCA_004130735.1_66	phage_311	GCA_004130735.1
GCA_004146945.1_61	phage_312	GCA_004146945.1
GCA_004340065.1_54	phage_313	GCA_004340065.1
GCA_004340405.1_5	phage_314	GCA_004340405.1
GCA_004379455.1_754	phage_315	GCA_004379455.1
GCA_004610765.1_53	phage_316	GCA_004610765.1
GCA_004610815.1_52	phage_317	GCA_004610815.1
GCA_005734995.1_95	phage_318	GCA_005734995.1
GX_tailings_Scaff0371825||full||full_90	phage_319	GX_tailings_Scaff0371825
GX_tailings_Scaff1709566||full||full_373	phage_320	GX_tailings_Scaff1709566
GZ_tailings_Scaff271926||full||full_560	phage_321	GZ_tailings_Scaff271926
JX_tailings_Scaff0192901||full||full_139	phage_322	JX_tailings_Scaff0192901
JX_tailings_Scaff0895827||full||full_251	phage_323	JX_tailings_Scaff0895827
QH_tailings_Scaff0948522||full||full_4	phage_324	QH_tailings_Scaff0948522
QH_tailings_Scaff1464694||full||full_622	phage_325	QH_tailings_Scaff1464694
