Species	Sequence ID	Subfamily	Domains	Superkingdom	seqLabel
Lactobacillus_pentosus_KCA1	WP_003637810.1	YdiF	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YdiF_884
Lactobacillus_pentosus_KCA1	WP_003638838.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_885
Lactobacillus_pentosus_KCA1	WP_003639278.1	YfmM	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YfmM_886
Lactobacillus_pentosus_KCA1	WP_003639599.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_887
Acinetobacter_calcoaceticus_RUH2202	WP_003652326.1	BAF2	ABC1, ABC2	Bacteria	Bacteria_BAF2_888
Acinetobacter_calcoaceticus_RUH2202	WP_003653862.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_889
Acinetobacter_calcoaceticus_RUH2202	WP_003654742.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_890
Acinetobacter_calcoaceticus_RUH2202	WP_003656041.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_891
Neisseria_cinerea_ATCC_14685	WP_003675280.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_892
Neisseria_cinerea_ATCC_14685	WP_003676465.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_893
Neisseria_cinerea_ATCC_14685	WP_003677460.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_894
Neisseria_cinerea_ATCC_14685	WP_003677486.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_895
Neisseria_flavescens_NRL30031_H210	WP_003678999.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_896
Neisseria_flavescens_NRL30031_H210	WP_003679207.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_897
Lactobacillus_coryniformis_subsp._coryniformis_KCTC_3167	WP_003679813.1	YfmM	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YfmM_898
Neisseria_flavescens_NRL30031_H210	WP_003680210.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_899
Neisseria_flavescens_NRL30031_H210	WP_003680563.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_900
Lactobacillus_mali_KCTC_3596_=_DSM_20444	WP_003688851.1	YdiF	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YdiF_901
Lactobacillus_mali_KCTC_3596_=_DSM_20444	WP_003691243.1	ARE3	ABC1, ABC2	Bacteria	Bacteria_ARE3_902
Lactobacillus_ruminis_ATCC_25644	WP_003691940.1	YfmM	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YfmM_903
Lactobacillus_ruminis_ATCC_25644	WP_003692402.1	ARE1	ABC1, ABC2	Bacteria	Bacteria_ARE1_904
Lactobacillus_ruminis_ATCC_25644	WP_003692484.1	YdiF	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YdiF_905
Lactobacillus_ruminis_ATCC_25644	WP_003693435.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_906
Lactobacillus_ruminis_ATCC_25644	WP_003698277.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_907
Neisseria_lactamica_ATCC_23970	WP_003707634.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_908
Neisseria_lactamica_ATCC_23970	WP_003709889.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_909
Neisseria_lactamica_ATCC_23970	WP_003709984.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_910
Neisseria_lactamica_ATCC_23970	WP_003710324.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_911
Lactobacillus_oris_PB013-T2-3	WP_003711267.1	YdiF	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YdiF_912
Lactobacillus_oris_PB013-T2-3	WP_003711799.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_913
Lactobacillus_oris_PB013-T2-3	WP_003712222.1	ARE3	ABC1, ABC2, linker	Bacteria	Bacteria_ARE3_914
Lactobacillus_oris_PB013-T2-3	WP_003712309.1	YfmM	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YfmM_915
Lactobacillus_vaginalis_ATCC_49540	WP_003716519.1	YfmM	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YfmM_916
Lactobacillus_vaginalis_ATCC_49540	WP_003716581.1	ARE3	ABC1, ABC2, linker	Bacteria	Bacteria_ARE3_917
Lactobacillus_vaginalis_ATCC_49540	WP_003717023.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_918
Lactobacillus_vaginalis_ATCC_49540	WP_003717566.1	YdiF	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YdiF_919
Neisseria_mucosa_ATCC_25996	WP_003741512.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_920
Neisseria_mucosa_ATCC_25996	WP_003742029.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_921
Neisseria_mucosa_ATCC_25996	WP_003742263.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_922
Neisseria_mucosa_ATCC_25996	WP_003743248.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_923
Neisseria_polysaccharea_ATCC_43768	WP_003749711.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_924
Neisseria_polysaccharea_ATCC_43768	WP_003750407.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_925
Listeria_grayi_DSM_20601	WP_003755872.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_926
Neisseria_macacae_ATCC_33926	WP_003756559.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_927
Neisseria_sicca_ATCC_29256	WP_003756559.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_928
Listeria_grayi_DSM_20601	WP_003756860.1	YdiF	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YdiF_929
Neisseria_sicca_ATCC_29256	WP_003756909.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_930
Listeria_grayi_DSM_20601	WP_003758163.1	YdiF	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YdiF_931
Listeria_grayi_DSM_20601	WP_003758497.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_932
Neisseria_sicca_ATCC_29256	WP_003758575.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_933
Listeria_grayi_DSM_20601	WP_003758910.1	ARE1	ABC1, ABC2, linker	Bacteria	Bacteria_ARE1_934
Neisseria_sicca_ATCC_29256	WP_003762083.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_935
Neisseria_macacae_ATCC_33926	WP_003768011.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_936
Neisseria_elongata_subsp._glycolytica_ATCC_29315	WP_003769782.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_937
Neisseria_elongata_subsp._glycolytica_ATCC_29315	WP_003770538.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_938
Neisseria_elongata_subsp._glycolytica_ATCC_29315	WP_003771552.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_939
Erysipelothrix_rhusiopathiae_ATCC_19414	WP_003773556.1	YfmM	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YfmM_940
Erysipelothrix_rhusiopathiae_ATCC_19414	WP_003773615.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_941
Erysipelothrix_rhusiopathiae_ATCC_19414	WP_003774005.1	ARE7	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_ARE7_942
Erysipelothrix_rhusiopathiae_ATCC_19414	WP_003775271.1	SAF1	ABC1, ABC2	Bacteria	Bacteria_SAF1_943
Erysipelothrix_rhusiopathiae_ATCC_19414	WP_003775291.1	Uup	ABC1, ABC2	Bacteria	Bacteria_Uup_944
Alloiococcus_otitis_ATCC_51267	WP_003776924.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_945
Neisseria_macacae_ATCC_33926	WP_003777926.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_946
Alloiococcus_otitis_ATCC_51267	WP_003777982.1	ARE1	ABC1, ABC2, ARE1_2_CTD, linker	Bacteria	Bacteria_ARE1_947
Alloiococcus_otitis_ATCC_51267	WP_003778446.1	YdiF	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YdiF_948
Alloiococcus_otitis_ATCC_51267	WP_003778502.1	ARE1	ABC1, ABC2, linker	Bacteria	Bacteria_ARE1_949
Neisseria_macacae_ATCC_33926	WP_003778798.1	Uup	ABC1, ABC2, arm, linker	Bacteria	Bacteria_Uup_950
Neisseria_macacae_ATCC_33926	WP_003778801.1	Uup	ABC1, ABC2, bact_CTD_extensions	Bacteria	Bacteria_Uup_951
Neisseria_macacae_ATCC_33926	WP_003779208.1	ARE3	ABC1, ABC2, linker	Bacteria	Bacteria_ARE3_952
Actinomyces_naeslundii_str._Howell_279	WP_003779929.1	AAF5	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF5_953
Actinomyces_naeslundii_str._Howell_279	WP_003780457.1	AAF6	DUF612, ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_AAF6_954
Actinomyces_naeslundii_str._Howell_279	WP_003780662.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_955
Actinomyces_naeslundii_str._Howell_279	WP_003780814.1	EttA	ABC1, ABC2, linker	Bacteria	Bacteria_EttA_956
Kingella_denitrificans_ATCC_33394	WP_003781381.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_957
Kingella_denitrificans_ATCC_33394	WP_003781937.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_958
Kingella_denitrificans_ATCC_33394	WP_003782489.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_959
Kingella_denitrificans_ATCC_33394	WP_003784234.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_960
Kingella_kingae_ATCC_23330	WP_003785482.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_961
Kingella_kingae_ATCC_23330	WP_003786090.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_962
Actinomyces_viscosus_C505	WP_003786651.1	EttA	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_EttA_963
Kingella_kingae_ATCC_23330	WP_003786689.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_964
Actinomyces_viscosus_C505	WP_003787596.1	Uup	ABC1, ABC2, bact_CTD_extensions	Bacteria	Bacteria_Uup_965
Kingella_kingae_ATCC_23330	WP_003787766.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_966
Actinomyces_odontolyticus_ATCC_17982	WP_003791873.1	AAF5	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF5_967
Actinomyces_odontolyticus_ATCC_17982	WP_003792340.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_968
Actinomyces_odontolyticus_ATCC_17982	WP_003792872.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_969
Actinomyces_odontolyticus_ATCC_17982	WP_003793480.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_970
Kingella_oralis_ATCC_51147	WP_003795134.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_971
Kingella_oralis_ATCC_51147	WP_003795677.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_972
Kingella_oralis_ATCC_51147	WP_003795742.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_973
Kingella_oralis_ATCC_51147	WP_003796436.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_974
Arthrobacter_globiformis_NBRC_12137	WP_003797701.1	ARE4	ABC1, ABC2, arm, linker	Bacteria	Bacteria_ARE4_975
Arthrobacter_globiformis_NBRC_12137	WP_003799570.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_976
Alcaligenes_faecalis_subsp._faecalis_NCIB_8687	WP_003799616.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_977
Arthrobacter_globiformis_NBRC_12137	WP_003800172.1	AAF2	ABC1, ABC2, linker	Bacteria	Bacteria_AAF2_978
Arthrobacter_globiformis_NBRC_12137	WP_003801042.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_979
Alcaligenes_faecalis_subsp._faecalis_NCIB_8687	WP_003801439.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_980
Arthrobacter_globiformis_NBRC_12137	WP_003803368.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_981
Alcaligenes_faecalis_subsp._faecalis_NCIB_8687	WP_003803566.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_982
Alcaligenes_faecalis_subsp._faecalis_NCIB_8687	WP_003803590.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_983
Arthrobacter_globiformis_NBRC_12137	WP_003804638.1	AAF1	ABC1, ABC2, linker	Bacteria	Bacteria_AAF1_984
Bifidobacterium_stercoris_JCM_15918	WP_003808281.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_985
Bifidobacterium_ruminantium_DSM_6489	WP_003809155.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_986
Bifidobacterium_bifidum_NCIMB_41171	WP_003811882.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_987
Bifidobacterium_bifidum_NCIMB_41171	WP_003813299.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_988
Bifidobacterium_bifidum_NCIMB_41171	WP_003814786.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_989
Eikenella_corrodens_ATCC_23834	WP_003821829.1	YbiT	ABC1, ABC2, arm, linker	Bacteria	Bacteria_YbiT_990
Eikenella_corrodens_ATCC_23834	WP_003822545.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_991
Eikenella_corrodens_ATCC_23834	WP_003823629.1	Uup	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_Uup_992
Eikenella_corrodens_ATCC_23834	WP_003824112.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_993
Bifidobacterium_angulatum_DSM_20098_=_JCM_7096	WP_003826257.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_994
Bifidobacterium_angulatum_DSM_20098_=_JCM_7096	WP_003827450.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_995
Bifidobacterium_angulatum_DSM_20098_=_JCM_7096	WP_003827709.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_996
Citrobacter_sp._30_2	WP_003827754.1	YheS	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_YheS_997
Bifidobacterium_breve_DSM_20213_=_JCM_1192	WP_003828251.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_998
Bifidobacterium_breve_DSM_20213_=_JCM_1192	WP_003829326.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_999
Citrobacter_sp._30_2	WP_003829940.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1000
Bifidobacterium_breve_DSM_20213_=_JCM_1192	WP_003830062.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1001
Bifidobacterium_catenulatum_DSM_16992_=_JCM_1194_=_LMG_11043	WP_003834852.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1002
Bifidobacterium_catenulatum_DSM_16992_=_JCM_1194_=_LMG_11043	WP_003835634.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1003
Bifidobacterium_kashiwanohense_JCM_15439_=_DSM_21854	WP_003835634.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1004
Bifidobacterium_catenulatum_DSM_16992_=_JCM_1194_=_LMG_11043	WP_003836196.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1005
Corynebacterium_ammoniagenes_DSM_20306	WP_003845875.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1006
Corynebacterium_ammoniagenes_DSM_20306	WP_003846390.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1007
Corynebacterium_ammoniagenes_DSM_20306	WP_003846608.1	ARE5	ABC1, ABC2	Bacteria	Bacteria_ARE5_1008
Corynebacterium_ammoniagenes_DSM_20306	WP_003847066.1	AAF4	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF4_1009
Corynebacterium_ammoniagenes_DSM_20306	WP_003847261.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1010
Corynebacterium_crenatum_MT	WP_003856088.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1011
Corynebacterium_crenatum_MT	WP_003856495.1	AAF4	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF4_1012
Corynebacterium_crenatum_MT	WP_003856915.1	AAF1	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_AAF1_1013
Corynebacterium_crenatum_MT	WP_003858495.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1014
Eubacterium_biforme_DSM_3989	WP_003864821.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1015
Eubacterium_biforme_DSM_3989	WP_003865817.1	ARE7	ABC1, ABC2, bact_CTD_extensions, arm, linker	Bacteria	Bacteria_ARE7_1016
Thermoanaerobacter_ethanolicus_CCSD1	WP_003866840.1	YdiF	ABC1, ABC2, arm	Bacteria	Bacteria_YdiF_1017
Thermoanaerobacter_ethanolicus_CCSD1	WP_003866842.1	YdiF	ABC1, ABC2	Bacteria	Bacteria_YdiF_1018
Thermoanaerobacter_ethanolicus_CCSD1	WP_003868808.1	ARE1	ABC1, ABC2, linker	Bacteria	Bacteria_ARE1_1019
Mycobacterium_fortuitum_subsp._fortuitum_DSM_46621	WP_003879951.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1020
Mycobacterium_fortuitum_subsp._fortuitum_DSM_46621	WP_003880869.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1021
Mycobacterium_fortuitum_subsp._fortuitum_DSM_46621	WP_003885155.1	Uup	ABC1, ABC2, ABCF5_CTD, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1022
Mycobacterium_fortuitum_subsp._fortuitum_DSM_46621	WP_003885513.1	ARE5	ABC1, ABC2	Bacteria	Bacteria_ARE5_1023
Mycobacterium_phlei_RIVM601174	WP_003885901.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1024
Mycobacterium_phlei_RIVM601174	WP_003888909.1	ARE5	ABC1, ABC2	Bacteria	Bacteria_ARE5_1025
Mycobacterium_phlei_RIVM601174	WP_003890534.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1026
Mycobacterium_phlei_RIVM601174	WP_003891308.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1027
Mycobacterium_africanum_K85	WP_003910416.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1028
Mycobacterium_xenopi_RIVM700367	WP_003920250.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1029
Mycobacterium_xenopi_RIVM700367	WP_003921011.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1030
Mycobacterium_xenopi_RIVM700367	WP_003923037.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1031
Mycobacterium_thermoresistibile_ATCC_19527	WP_003923770.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1032
Mycobacterium_thermoresistibile_ATCC_19527	WP_003923799.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1033
Mycobacterium_thermoresistibile_ATCC_19527	WP_003925020.1	ARE5	ABC1, ABC2	Bacteria	Bacteria_ARE5_1034
Mycobacterium_thermoresistibile_ATCC_19527	WP_003926997.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1035
Mycobacterium_vaccae_ATCC_25954	WP_003928342.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1036
Mycobacterium_vaccae_ATCC_25954	WP_003931046.1	ARE5	ABC1, ABC2	Bacteria	Bacteria_ARE5_1037
Mycobacterium_vaccae_ATCC_25954	WP_003931503.1	AAF1	ABC1, ABC2, linker	Bacteria	Bacteria_AAF1_1038
Mycobacterium_vaccae_ATCC_25954	WP_003931976.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1039
Mycobacterium_vaccae_ATCC_25954	WP_003932035.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1040
Rhodococcus_ruber_BKS_20-38	WP_003936376.1	AAF1	ABC1, ABC2, linker	Bacteria	Bacteria_AAF1_1041
Rhodococcus_ruber_BKS_20-38	WP_003937117.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1042
Rhodococcus_ruber_BKS_20-38	WP_003937836.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1043
Rhodococcus_ruber_BKS_20-38	WP_003939499.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1044
Rhodococcus_qingshengii_BKS_20-40	WP_003944932.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1045
Rhodococcus_qingshengii_BKS_20-40	WP_003946255.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1046
Streptomyces_albus_J1074	WP_003946830.1	AAF4	ABC1, ABC2	Bacteria	Bacteria_AAF4_1047
Streptomyces_albus_J1074	WP_003946831.1	AAF4	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF4_1048
Streptomyces_albus_J1074	WP_003946832.1	ARE5	ABC1, ABC2	Bacteria	Bacteria_ARE5_1049
Streptomyces_albus_J1074	WP_003947257.1	ARE4	ABC1, ABC2, arm, linker	Bacteria	Bacteria_ARE4_1050
Streptomyces_albidoflavus	WP_003947403.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1051
Streptomyces_albus_J1074	WP_003947403.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1052
Streptomyces_albus_J1074	WP_003948110.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1053
Streptomyces_albus_J1074	WP_003948699.1	ARE4	ABC1, ABC2, arm, linker	Bacteria	Bacteria_ARE4_1054
Streptomyces_albidoflavus	WP_003950269.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1055
Streptomyces_albus_J1074	WP_003950269.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1056
Streptomyces_albus_J1074	WP_003951888.1	AAF2	ABC1, ABC2, linker	Bacteria	Bacteria_AAF2_1057
Streptomyces_albus_J1074	WP_003952041.1	ARE5	ABC1, ABC2	Bacteria	Bacteria_ARE5_1058
Streptomyces_albus_J1074	WP_003952067.1	AAF1	ABC1, ABC2, linker	Bacteria	Bacteria_AAF1_1059
Streptomyces_clavuligerus_ATCC_27064	WP_003953764.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1060
Streptomyces_clavuligerus_ATCC_27064	WP_003955180.1	ARE5	ABC1, ABC2	Bacteria	Bacteria_ARE5_1061
Streptomyces_clavuligerus_ATCC_27064	WP_003956426.1	AAF2	ABC1, ABC2, linker	Bacteria	Bacteria_AAF2_1062
Streptomyces_clavuligerus_ATCC_27064	WP_003960001.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1063
Streptomyces_clavuligerus_ATCC_27064	WP_003960513.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1064
Streptomyces_clavuligerus_ATCC_27064	WP_003962465.1	ARE5	ABC1, ABC2	Bacteria	Bacteria_ARE5_1065
Streptomyces_lividans_TK24	WP_003972254.1	AAF1	ABC1, ABC2, linker	Bacteria	Bacteria_AAF1_1066
Streptomyces_violaceoruber	WP_003972254.1	AAF1	ABC1, ABC2, linker	Bacteria	Bacteria_AAF1_1067
Streptomyces_lividans_TK24	WP_003972276.1	ARE5	ABC1, ABC2	Bacteria	Bacteria_ARE5_1068
Streptomyces_lividans_TK24	WP_003972466.1	AAF2	ABC1, ABC2, linker	Bacteria	Bacteria_AAF2_1069
Streptomyces_lividans_TK24	WP_003975669.1	Uup	ABC1, ABC2, bact_CTD_extensions, linker	Bacteria	Bacteria_Uup_1070
Streptomyces_lividans_TK24	WP_003976122.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1071
Streptomyces_violaceoruber	WP_003976122.1	EttA	ABC1, ABC2, arm, linker	Bacteria	Bacteria_EttA_1072
Streptomyces_lividans_TK24	WP_003976982.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1073
Streptomyces_violaceoruber	WP_003976982.1	AAF6	ABC1, ABC2, arm, linker	Bacteria	Bacteria_AAF6_1074
Streptomyces_lividans_TK24	WP_003978226.1	ARE5	ABC1, ABC2	Bacteria	Bacteria_ARE5_1075
Streptomyces_lividans_TK24	WP_003978543.1	ARE4	ABC1, ABC2, arm, linker	Bacteria	Bacteria_ARE4_1076
Streptomyces_violaceoruber	WP_003978543.1	ARE4	ABC1, ABC2, arm, linker	Bacteria	Bacteria_ARE4_1077
