Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	Syn-Subs	Nonsyn-Subs	Fold-Syn-Subs(0:2:4)	Fold-Nonsyn-Subs(0:2:4)	Divergence-Distance	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model	kingdom
eukaryote_dfr_Cluster.10_7-eukaryote_dfr_Cluster.10_18	MA	0.104516	1.17016	0.0893173	3.79815e-131	1584	317.268	1266.73	NA	313	230.722	82.2779	NA	NA	0.31796	1.64012:1.7142:1.43681:1.44691:0.735841:1	0.432765(0.517045:0.392045:0.389205)	-3037.24	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_7-eukaryote_dfr_Cluster.10_19	MA	0.106336	1.05674	0.100626	5.45524e-114	1578	312.647	1265.35	NA	300	213.181	86.8192	NA	NA	0.294638	1.9729:1.99056:1.82409:1.84803:0.861075:1	0.429024(0.512357:0.389734:0.384981)	-3018.92	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_7-eukaryote_dfr_Cluster.10_20	MA	0.104856	1.0838	0.0967488	9.30424e-119	1578	317.021	1260.98	NA	304	219.522	84.478	NA	NA	0.301526	1.88276:2.15988:1.6624:1.68532:0.840119:1	0.431242(0.514259:0.390684:0.388783)	-3008.89	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_7-eukaryote_dfr_Cluster.10_21	MA	0.102987	1.10878	0.092884	1.05749e-122	1578	316.237	1261.76	NA	303	221.071	81.9289	NA	NA	0.304551	1.88914:2.07544:1.57012:1.57432:0.804154:1	0.42744(0.510456:0.390684:0.381179)	-3001.77	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_7-eukaryote_dfr_Cluster.10_22	MA	0.110386	1.66594	0.0662607	1.68004e-194	1581	293.4	1287.6	NA	343	265.729	77.271	NA	NA	0.399064	1.55277:1.86613:1.17463:1.17943:0.92506:1	0.417141(0.506641:0.387097:0.357685)	-3046.55	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_7-eukaryote_dfr_Cluster.10_8	MA	0.147084	2.0547	0.0715842	9.80326e-246	1581	317.206	1263.79	NA	404	314.348	89.6524	NA	NA	0.529822	2.07233:2.36738:1.87996:1.91938:0.874973:1	0.427577(0.505693:0.393738:0.383302)	-3185.09	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_7-eukaryote_dfr_Cluster.10_9	MA	0.119886	1.55247	0.077223	5.1584e-171	1581	297.234	1283.77	NA	339	254.213	84.7874	NA	NA	0.389216	1.12271:2.51103:1.06089:1.04361:0.541538:1	0.420304(0.501898:0.383302:0.375712)	-3077.73	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_8-eukaryote_dfr_Cluster.10_10	MA	0.121608	2.43877	0.0498646	2.51827e-242	1578	347.091	1230.91	NA	379	322.049	56.9506	NA	NA	0.631281	3.4727:4.54042:2.67278:2.75283:0.855966:1	0.431559(0.506654:0.39924:0.388783)	-3089.01	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_8-eukaryote_dfr_Cluster.10_11	MA	0.11168	3.16363	0.0353013	0	1575	308.906	1266.09	NA	389	339.831	49.1691	NA	NA	0.710262	1.22772:1.81924:1.04282:1.24942:0.369073:1	0.421587(0.509524:0.39619:0.359048)	-3069.8	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_8-eukaryote_dfr_Cluster.10_12	MA	0.0434026	0.260305	0.166738	3.84607e-25	1581	340.855	1240.15	NA	125	77.8017	47.1983	NA	NA	0.0901655	2.60238:3.38349:1.6136:1.50277:1.01246:1	0.424731(0.501898:0.395636:0.37666)	-2577.91	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_8-eukaryote_dfr_Cluster.10_13	MA	0.107377	2.74418	0.0391287	0	1578	305.116	1272.88	NA	381	327.534	53.4658	NA	NA	0.61722	1.38895:2.38018:1.31109:1.51611:0.410924:1	0.418568(0.504753:0.391635:0.359316)	-3062.53	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_8-eukaryote_dfr_Cluster.10_14	MA	0.0425498	0.268638	0.158391	8.19685e-27	1581	362.221	1218.78	NA	127	82.8471	44.1529	NA	NA	0.0943485	2.99091:3.47132:2.23585:1.83504:1.18371:1	0.423782(0.502846:0.394687:0.373814)	-2625.43	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_8-eukaryote_dfr_Cluster.10_15	MA	0.120619	2.07924	0.0580112	2.00818e-247	1581	312.828	1268.17	NA	378	306.03	71.9696	NA	NA	0.508165	1.04674:2.38396:0.729918:1.11161:0.402118:1	0.429791(0.499051:0.391841:0.398482)	-3120.41	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_8-eukaryote_dfr_Cluster.10_16	MA	0.125403	3.71886	0.0337208	0	1581	314.123	1266.88	NA	402	353.874	48.1262	NA	NA	0.839373	1.67299:3.16606:1.15373:1.56269:0.460198:1	0.42315(0.505693:0.398482:0.365275)	-3134.25	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_8-eukaryote_dfr_Cluster.10_17	MA	0.109684	2.03529	0.0538908	2.23183e-238	1581	294.916	1286.08	NA	355	287.447	67.5529	NA	NA	0.468881	1.25478:3.35872:1.18058:2.00633:0.374889:1	0.425047(0.502846:0.388046:0.38425)	-3054.88	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_8-eukaryote_dfr_Cluster.10_18	MA	0.113949	1.86687	0.0610377	5.79699e-210	1578	331.785	1246.21	NA	364	296.112	67.8877	NA	NA	0.482512	2.42977:3.35288:2.02347:2.28494:0.753456:1	0.432193(0.513308:0.39924:0.38403)	-3075.06	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_8-eukaryote_dfr_Cluster.10_19	MA	0.119767	2.13687	0.0560477	3.4518e-230	1578	332.139	1245.86	NA	373	308.204	64.7958	NA	NA	0.544329	2.82899:3.46308:2.43543:2.48833:1.07123:1	0.428707(0.509506:0.395437:0.381179)	-3090.36	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_8-eukaryote_dfr_Cluster.10_20	MA	0.119822	2.02956	0.0590383	1.33723e-213	1578	340.136	1237.86	NA	369	303.739	65.261	NA	NA	0.531464	2.8723:3.4918:2.29464:2.35002:0.889184:1	0.430925(0.511407:0.396388:0.384981)	-3078.87	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_8-eukaryote_dfr_Cluster.10_21	MA	0.121102	2.09206	0.0578864	2.54743e-217	1578	337.041	1240.96	NA	368	303.347	64.6533	NA	NA	0.542073	3.01934:3.67042:2.42546:2.46649:0.933442:1	0.427123(0.507605:0.396388:0.377376)	-3075.56	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_8-eukaryote_dfr_Cluster.10_22	MA	0.10445	2.53496	0.0412037	0	1581	295.738	1285.26	NA	354	300.237	53.7631	NA	NA	0.559095	1.59403:4.42037:1.54995:1.90189:0.521257:1	0.416825(0.504744:0.393738:0.351992)	-3033.63	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_8-eukaryote_dfr_Cluster.10_9	MA	0.122501	2.22161	0.0551407	2.83189e-225	1581	322.238	1258.76	NA	363	298.668	64.3321	NA	NA	0.550339	1.65647:3.80662:1.19156:1.1324:0.388324:1	0.419671(0.499051:0.389943:0.370019)	-3095.22	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_9-eukaryote_dfr_Cluster.10_10	MA	0.130412	0.989091	0.13185	4.18273e-104	1674	372.241	1301.76	NA	345	236.125	108.875	NA	NA	0.321353	2.82391:2.94235:2.57493:2.60223:1.23923:1	0.424134(0.492832:0.396057:0.383513)	-3327.74	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_9-eukaryote_dfr_Cluster.10_11	MA	0.107233	1.68982	0.0634586	6.9463e-190	1575	301.921	1273.08	NA	337	265.861	71.1388	NA	NA	0.410609	1.57087:2.06152:1.21862:1.3495:0.582611:1	0.413968(0.50381:0.385714:0.352381)	-3027.92	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_9-eukaryote_dfr_Cluster.10_12	MA	0.112839	2.00526	0.0562716	1.50951e-199	1581	334.858	1246.14	NA	346	286.09	59.91	NA	NA	0.513656	2.22685:3.65793:1.15896:1.1949:0.60471:1	0.416825(0.496205:0.385199:0.36907)	-3051.98	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_9-eukaryote_dfr_Cluster.10_13	MA	0.109596	1.57692	0.0695001	4.08234e-178	1578	296.775	1281.22	NA	334	256.915	77.0853	NA	NA	0.385557	1.51018:2.11245:1.30501:1.33761:0.63623:1	0.410646(0.499049:0.381179:0.351711)	-3028.54	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_9-eukaryote_dfr_Cluster.10_14	MA	0.109318	1.95458	0.055929	6.38006e-197	1581	331.584	1249.42	NA	342	282.471	59.5286	NA	NA	0.496326	2.40305:3.03371:1.58354:1.61762:0.61475:1	0.415876(0.497154:0.38425:0.366224)	-3037.5	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_9-eukaryote_dfr_Cluster.10_15	MA	0.0996056	1.29883	0.0766887	2.06311e-143	1581	324.489	1256.51	NA	310	239.021	70.9794	NA	NA	0.345738	2.93564:3.77303:2.33983:2.59636:0.828662:1	0.421569(0.491461:0.380455:0.392789)	-2993.21	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_9-eukaryote_dfr_Cluster.10_16	MA	0.0998365	1.31275	0.0760512	3.25409e-150	1581	293.247	1287.75	NA	310	232.389	77.6105	NA	NA	0.324811	1.09099:1.45832:0.838648:1.00663:0.520948:1	0.414927(0.5:0.388046:0.356736)	-3018.21	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_9-eukaryote_dfr_Cluster.10_17	MA	0.0926038	1.25608	0.0737243	5.26645e-137	1581	303.295	1277.7	NA	290	221.276	68.7241	NA	NA	0.315803	1.59609:3.5494:1.29337:1.37648:0.726838:1	0.417141(0.497154:0.377609:0.37666)	-2958.38	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_9-eukaryote_dfr_Cluster.10_18	MA	0.107217	1.17207	0.0914762	2.80389e-126	1578	350.534	1227.47	NA	316	239.336	76.6645	NA	NA	0.343761	2.4895:2.64347:2.03905:2.14763:0.719614:1	0.424588(0.508555:0.387833:0.377376)	-3074.65	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_9-eukaryote_dfr_Cluster.10_19	MA	0.110938	1.1176	0.099264	1.80782e-115	1590	327.674	1262.33	NA	305	220.63	84.3697	NA	NA	0.318396	3.12188:3.69775:2.58421:2.63033:1.01294:1	0.42044(0.50283:0.385849:0.372642)	-3028.17	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_9-eukaryote_dfr_Cluster.10_20	MA	0.101769	0.935107	0.108831	1.35247e-100	1590	353.797	1236.2	NA	294	213.002	80.9978	NA	NA	0.287198	2.67927:3.2551:2.07508:2.17753:0.776074:1	0.422642(0.504717:0.386792:0.376415)	-3046.45	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_9-eukaryote_dfr_Cluster.10_21	MA	0.100054	1.00255	0.0997994	9.68154e-109	1590	347.806	1242.19	NA	296	218.219	77.7808	NA	NA	0.297472	2.73697:3.24504:2.19411:2.24214:0.802745:1	0.418868(0.500943:0.386792:0.368868)	-3040.39	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.10_9-eukaryote_dfr_Cluster.10_22	MA	0.0918721	1.36917	0.0671008	4.33456e-150	1581	293.534	1287.47	NA	295	227.921	67.0793	NA	NA	0.329019	2.92685:3.3187:2.75409:2.77961:1.8351:1	0.408286(0.498102:0.383302:0.343454)	-2935.34	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.100_1-eukaryote_dfr_Cluster.100_2	MA	0.119813	0.645615	0.18558	1.42642e-20	558	132.923	425.077	NA	96	60.246	35.754	NA	NA	0.245066	2.33322:2.4134:1.72297:1.73361:0.512309:1	0.396953(0.491935:0.311828:0.387097)	-1060.89	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_1-eukaryote_dfr_Cluster.103_2	MA	0.129148	0.984714	0.131153	8.19225e-36	561	145.283	415.717	NA	117	85.0733	31.9267	NA	NA	0.350715	2.20439:1.79939:1.14758:1.05992:0.501013:1	0.42246(0.52139:0.31016:0.435829)	-1102.86	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_1-eukaryote_dfr_Cluster.103_3	MA	0.125691	1.17842	0.106661	3.26115e-39	486	121.245	364.755	NA	106	80.2495	25.7505	NA	NA	0.38832	2.73632:2.27812:2.16877:1.69643:1.65741:1	0.4393(0.503086:0.342593:0.472222)	-962.342	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_1-eukaryote_dfr_Cluster.103_4	MA	0.116083	0.916484	0.126661	2.58718e-31	525	127.958	397.042	NA	101	72.5043	28.4957	NA	NA	0.311164	1.33574:1.25958:0.927538:0.896199:0.298871:1	0.413333(0.505714:0.297143:0.437143)	-1008.54	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_1-eukaryote_dfr_Cluster.103_5	MA	0.119473	0.866381	0.137899	7.8972e-32	561	139.816	421.184	NA	109	77.0096	31.9904	NA	NA	0.305623	2.53895:2.47192:1.70119:1.67685:0.538167:1	0.424242(0.505348:0.326203:0.441176)	-1086.44	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_1-eukaryote_dfr_Cluster.103_6	MA	0.123275	0.892356	0.138145	6.06516e-32	561	137.993	423.007	NA	110	77.2757	32.7243	NA	NA	0.31245	2.26445:2.16964:1.58775:1.50957:0.630482:1	0.412656(0.516043:0.307487:0.414439)	-1086.25	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_2-eukaryote_dfr_Cluster.103_3	MA	0.1147	0.566346	0.202527	9.86798e-16	486	126.468	359.532	NA	81	51.4039	29.5961	NA	NA	0.232229	3.87355:3.28075:2.75274:2.73041:1.16752:1	0.434156(0.493827:0.345679:0.462963)	-923.524	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_2-eukaryote_dfr_Cluster.103_4	MA	0.0824201	0.362617	0.227292	2.70296e-10	525	136.978	388.022	NA	64	38.9327	25.0673	NA	NA	0.155526	2.77691:2.41985:1.52553:1.51379:0.391688:1	0.413333(0.491429:0.3:0.448571)	-936.315	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_2-eukaryote_dfr_Cluster.103_5	MA	0.0891768	0.350819	0.254196	2.46111e-10	561	153.023	407.977	NA	71	42.3194	28.6806	NA	NA	0.160544	3.37956:2.43647:1.41351:1.44106:0.391845:1	0.423351(0.491979:0.328877:0.449198)	-1012.55	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_2-eukaryote_dfr_Cluster.103_6	MA	0.0967196	0.347207	0.278564	5.85962e-09	561	133.857	427.143	NA	71	37.5878	33.4122	NA	NA	0.156487	5.31278:4.87027:4.90163:4.87355:1.85866:1	0.411765(0.502674:0.31016:0.42246)	-1007.66	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_3-eukaryote_dfr_Cluster.103_4	MA	0.0937673	0.618251	0.151666	5.87919e-19	450	113.735	336.265	NA	73	50.4002	22.5998	NA	NA	0.226328	1.51468:1.57045:1.0909:1.08837:0.376184:1	0.434444(0.473333:0.336667:0.493333)	-851.036	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_3-eukaryote_dfr_Cluster.103_5	MA	0.0947959	0.450031	0.210643	3.01634e-13	486	136.354	349.646	NA	71	46.0996	24.9004	NA	NA	0.194462	3.42952:1.93138:1.04324:1.05595:1.27382:1	0.438272(0.475309:0.364198:0.475309)	-901.755	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_3-eukaryote_dfr_Cluster.103_6	MA	0.0989825	0.450331	0.2198	2.42177e-12	486	119.262	366.738	NA	69	41.172	27.828	NA	NA	0.185201	3.60333:3.14422:3.07958:3.02626:2.05872:1	0.426955(0.490741:0.342593:0.447531)	-895.405	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_4-eukaryote_dfr_Cluster.103_5	MA	0.0577771	0.349526	0.165301	6.5587e-13	525	127.056	397.944	NA	55	36.2384	18.7616	NA	NA	0.128384	1.5283:1.51585:1.07737:1.08863:0.371181:1	0.42(0.48:0.317143:0.462857)	-914.705	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_4-eukaryote_dfr_Cluster.103_6	MA	0.0857726	0.348944	0.245806	2.60638e-09	525	130.778	394.222	NA	64	36.7612	27.2388	NA	NA	0.151329	2.1704:2.2455:1.50071:1.49361:0.4214:1	0.404762(0.488571:0.297143:0.428571)	-938.14	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.103_5-eukaryote_dfr_Cluster.103_6	MA	0.0636229	0.278975	0.228059	3.91101e-09	561	133.729	427.271	NA	54	31.238	22.762	NA	NA	0.114958	1.55342:1.60757:1.15949:1.12481:0.442005:1	0.412656(0.486631:0.323529:0.427807)	-967.53	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_10-eukaryote_dfr_Cluster.11_11	MA	0.0733955	0.989096	0.0742046	9.46514e-114	1533	293.44	1239.56	NA	253	192.621	60.3787	NA	NA	0.248675	1.37309:1.34149:1.14384:1.20033:0.720153:1	0.42531(0.508806:0.386497:0.380626)	-2820.27	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_10-eukaryote_dfr_Cluster.11_12	MA	0.0618418	1.00858	0.061316	2.21138e-117	1494	281.24	1212.76	NA	234	185.067	48.9329	NA	NA	0.240061	1.55502:1.52329:1.30954:1.59883:0.760134:1	0.426707(0.512048:0.38253:0.385542)	-2694.18	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_10-eukaryote_dfr_Cluster.11_13	MA	0.0628182	0.87085	0.0721344	9.95439e-104	1551	300.101	1250.9	NA	233	179.138	53.8623	NA	NA	0.219163	1.45008:1.96974:0.976132:1.05346:0.860937:1	0.416183(0.502901:0.386847:0.358801)	-2785.21	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_10-eukaryote_dfr_Cluster.11_15	MA	0.072459	0.899357	0.0805676	4.82291e-101	1551	308.557	1242.44	NA	245	184.987	60.0128	NA	NA	0.236962	2.02212:2.08637:1.65793:1.73143:0.74468:1	0.418762(0.507737:0.386847:0.361702)	-2825.47	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_10-eukaryote_dfr_Cluster.11_16	MA	0.0829923	1.0232	0.0811105	8.28725e-115	1557	308.375	1248.63	NA	269	202.496	66.5038	NA	NA	0.269207	1.74218:1.85248:1.28454:1.29439:0.533161:1	0.417469(0.50289:0.3921:0.357418)	-2890.36	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_11-eukaryote_dfr_Cluster.11_12	MA	0.0140842	0.172017	0.0818766	1.06804e-22	1497	345.138	1151.86	NA	66	51.8357	14.1643	NA	NA	0.0504962	2.8368:2.37806:2.16119:2.38004:0.640352:1	0.441884(0.512024:0.38978:0.423848)	-2293.69	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_11-eukaryote_dfr_Cluster.11_13	MA	0.0600206	0.535274	0.112131	2.26414e-62	1647	347.876	1299.12	NA	205	144.494	60.5062	NA	NA	0.160403	1.30305:1.38119:1.00218:1.07051:0.464261:1	0.43048(0.489982:0.396175:0.405282)	-2917.84	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_11-eukaryote_dfr_Cluster.11_15	MA	0.0705943	0.54252	0.130123	2.50598e-60	1647	355.824	1291.18	NA	221	150.118	70.8821	NA	NA	0.172551	1.6144:1.62167:1.25911:1.29347:0.52388:1	0.431998(0.490893:0.394353:0.410747)	-2964.37	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_11-eukaryote_dfr_Cluster.11_16	MA	0.0721784	0.518416	0.139229	3.92094e-55	1647	355.566	1291.43	NA	218	144.785	73.2155	NA	NA	0.168515	1.7931:1.77136:1.36609:1.43773:0.532684:1	0.431694(0.491803:0.397086:0.406193)	-2954.64	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_12-eukaryote_dfr_Cluster.11_13	MA	0.0519514	0.573296	0.0906188	4.10303e-64	1497	297.57	1199.43	NA	178	130.378	47.622	NA	NA	0.155583	0.957696:1.54954:0.564658:0.671202:0.713179:1	0.431864(0.504008:0.38978:0.401804)	-2603.6	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_12-eukaryote_dfr_Cluster.11_15	MA	0.0607946	0.549138	0.110709	3.83183e-58	1497	313.082	1183.92	NA	188	132.521	55.4793	NA	NA	0.162926	1.59322:1.97302:1.06312:1.17027:0.787412:1	0.433868(0.507014:0.38477:0.40982)	-2634.78	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_12-eukaryote_dfr_Cluster.11_16	MA	0.062588	0.545559	0.114723	4.7308e-57	1497	310.614	1186.39	NA	189	131.416	57.5841	NA	NA	0.1628	1.72221:2.03095:1.18499:1.35288:0.696152:1	0.433868(0.507014:0.387776:0.406814)	-2637.61	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_13-eukaryote_dfr_Cluster.11_15	MA	0.0437719	0.225762	0.193885	1.1235e-21	1695	367.194	1327.81	NA	127	74.6573	52.3427	NA	NA	0.0831971	1.69916:1.94317:1.2014:1.20649:0.888365:1	0.423009(0.484956:0.39646:0.387611)	-2777.17	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_13-eukaryote_dfr_Cluster.11_16	MA	0.0433423	0.233177	0.185877	4.58576e-23	1695	366.383	1328.62	NA	128	76.4614	51.5386	NA	NA	0.084376	1.71023:2.21494:1.04345:1.05533:0.922321:1	0.421829(0.482301:0.399115:0.384071)	-2775.1	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_15-eukaryote_dfr_Cluster.11_16	MA	0.0177953	0.0697331	0.255191	2.74937e-06	1695	382.299	1312.7	NA	48	25.5829	22.4171	NA	NA	0.0295096	2.77759:2.95677:1.91198:1.94994:0.822401:1	0.424189(0.487611:0.399115:0.385841)	-2491.26	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_1-eukaryote_dfr_Cluster.11_10	MA	0.0305432	0.344188	0.0887398	5.75524e-41	1557	290.69	1266.31	NA	117	84.3809	32.6191	NA	NA	0.0891003	2.00516:1.90712:1.38094:1.37691:0.328701:1	0.412974(0.500963:0.387283:0.350674)	-2483.32	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_1-eukaryote_dfr_Cluster.11_11	MA	0.0988503	1.04161	0.0949017	2.01741e-119	1644	348.663	1295.34	NA	311	229.932	81.068	NA	NA	0.298792	1.69586:1.70315:1.45361:1.51178:0.850196:1	0.42427(0.484489:0.393248:0.395073)	-3177.18	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_1-eukaryote_dfr_Cluster.11_12	MA	0.0734645	1.10037	0.0667637	1.10737e-120	1494	315.925	1178.08	NA	258	206.572	51.4281	NA	NA	0.290615	3.91874:4.04484:3.73517:4.32766:2.06447:1	0.428715(0.502008:0.383534:0.400602)	-2774.53	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_1-eukaryote_dfr_Cluster.11_13	MA	0.0841407	0.89091	0.0944435	1.4963e-106	1674	335.768	1338.23	NA	281	204.154	76.846	NA	NA	0.245961	1.5248:1.79035:1.04693:1.09432:0.776451:1	0.414277(0.476703:0.392473:0.373656)	-3110.96	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_1-eukaryote_dfr_Cluster.11_15	MA	0.0938804	1.02753	0.0913651	6.87048e-122	1683	341.313	1341.69	NA	306	225.14	80.8596	NA	NA	0.283225	1.71:1.84887:1.2682:1.2884:0.821965:1	0.417409(0.483066:0.393939:0.375223)	-3181.8	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_1-eukaryote_dfr_Cluster.11_16	MA	0.0992017	1.03816	0.0955555	9.32444e-120	1674	345.491	1328.51	NA	311	227.433	83.5672	NA	NA	0.29299	1.80552:2.14206:1.12711:1.15216:0.665331:1	0.416965(0.479391:0.396953:0.374552)	-3174.35	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_1-eukaryote_dfr_Cluster.11_2	MA	0.0513619	0.894925	0.0573924	8.12252e-108	1539	297.928	1241.07	NA	217	175.13	41.8698	NA	NA	0.214664	1.68551:1.5315:1.20767:1.62942:0.496248:1	0.436322(0.506823:0.389864:0.412281)	-2716.33	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_1-eukaryote_dfr_Cluster.11_3	MA	0.0423655	0.478033	0.0886247	5.5631e-57	1551	298.639	1252.36	NA	158	115.189	42.8105	NA	NA	0.126252	1.61367:1.49383:1.14627:1.16863:0.588908:1	0.426499(0.503868:0.390716:0.384913)	-2620.91	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_1-eukaryote_dfr_Cluster.11_4	MA	0.0230144	0.316439	0.0727293	2.03574e-39	1557	275.124	1281.88	NA	100	74.6901	25.3099	NA	NA	0.0748629	1.32886:1.1115:0.779978:1.21431:0.368222:1	0.418433(0.495183:0.387283:0.372832)	-2437.54	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_1-eukaryote_dfr_Cluster.11_5	MA	0.0285444	0.283259	0.100772	7.41578e-33	1557	313.556	1243.44	NA	104	74.3058	29.6942	NA	NA	0.07984	1.71002:1.70316:1.23202:1.28148:0.323961:1	0.417148(0.496146:0.38632:0.368979)	-2499.47	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_1-eukaryote_dfr_Cluster.11_6	MA	0.0729568	1.16143	0.0628163	4.10777e-138	1548	327.517	1220.48	NA	281	227.699	53.3006	NA	NA	0.30325	1.88641:2.05559:1.36907:1.40488:0.686345:1	0.432171(0.497093:0.39438:0.405039)	-2868.71	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_1-eukaryote_dfr_Cluster.11_7	MA	0.0195816	0.284317	0.0688726	2.07698e-37	1557	291.738	1265.26	NA	93	71.6101	21.3899	NA	NA	0.0691856	1.76365:1.5314:1.01426:1.02777:0.391581:1	0.416506(0.496146:0.387283:0.366089)	-2414.95	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_1-eukaryote_dfr_Cluster.11_8	MA	0.0743401	1.3201	0.0563141	9.69205e-156	1548	317.104	1230.9	NA	289	237.159	51.8413	NA	NA	0.329531	1.15218:1.44328:0.674217:0.949663:0.388362:1	0.437016(0.499031:0.39438:0.417636)	-2877.77	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_1-eukaryote_dfr_Cluster.11_9	MA	0.102654	1.05451	0.0973473	1.19e-120	1662	337.166	1324.83	NA	315	227.847	87.1533	NA	NA	0.295755	1.66388:2.11545:1.03056:1.05184:0.725483:1	0.415764(0.484657:0.390794:0.371841)	-3166.47	NA	NA	NA	eukaryote
eukaryote_dfr_Cluster.11_2-eukaryote_dfr_Cluster.11_10	MA	0.0503341	0.800122	0.062908	1.73834e-96	1539	300.282	1238.72	NA	209	165.938	43.062	NA	NA	0.196629	1.64954:1.54107:1.28596:1.58811:0.532323:1	0.434698(0.51462:0.391813:0.397661)	-2698.22	NA	NA	NA	eukaryote
