Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	Syn-Subs	Nonsyn-Subs	Fold-Syn-Subs(0:2:4)	Fold-Nonsyn-Subs(0:2:4)	Divergence-Distance	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model	kingdom
Bacteria_EttA_10446-Bacteria_EttA_10737	MA	0.942076	1.21872	0.773001	6.83774e-13	1662	347.986	1314.01	NA	1149	293.195	855.805	NA	NA	1	0.837597:0.83561:0.734284:0.818561:0.568753:1	0.665764(0.812274:0.383574:0.801444)	-4213.86	NA	NA	NA	bacteria
Bacteria_EttA_10528-Bacteria_EttA_11189	MA	0.950474	1.19381	0.796168	2.4181e-09	1659	337.658	1321.34	NA	1123	272.864	850.136	NA	NA	1	0.9246:0.934192:0.837832:0.879606:0.680116:1	0.668776(0.80651:0.388788:0.811031)	-4194.23	NA	NA	NA	bacteria
Bacteria_EttA_1064-Bacteria_EttA_15734	MA	0.117824	2.12183	0.0555293	0	1662	178.494	1483.51	NA	306	209.371	96.6287	NA	NA	0.333047	0.968262:1.17364:1.19684:1.23958:0.842344:1	0.657641(0.647112:0.382671:0.943141)	-2921.49	NA	NA	NA	bacteria
Bacteria_EttA_1071-Bacteria_EttA_10674	MA	0.102785	0.0414742	2.47828	2.44594e-05	1662	522.771	1139.23	NA	127	19.8416	107.158	NA	NA	0.0834999	2.7182:3.03762:2.0781:3.96662:1.04872:1	0.666366(0.958484:0.373646:0.666968)	-2502.25	NA	NA	NA	bacteria
Bacteria_EttA_10723-Bacteria_EttA_14927	MA	1.03948	0.911314	1.14064	0.00266359	1659	511.059	1147.94	NA	1017	285.505	731.495	NA	NA	1	1.19847:1.38796:1.0735:1.35338:1.01695:1	0.651597(0.89783:0.390597:0.666365)	-4081.95	NA	NA	NA	bacteria
Bacteria_EttA_10723-Bacteria_EttA_16182	MA	0.275478	0.139644	1.97272	2.70296e-08	1662	530.792	1131.21	NA	312	59.9516	252.048	NA	NA	0.232097	2.94426:3.12267:2.32291:3.45495:1.11774:1	0.664862(0.945848:0.388087:0.66065)	-3077.73	NA	NA	NA	bacteria
Bacteria_EttA_1092-Bacteria_EttA_14347	MA	0.929053	1.30762	0.710492	8.19712e-27	1653	309.785	1343.21	NA	1190	291.62	898.38	NA	NA	1	0.95597:0.973349:0.98645:1.01011:0.874823:1	0.634604(0.725045:0.372051:0.806715)	-4303.94	NA	NA	NA	bacteria
Bacteria_EttA_1092-Bacteria_EttA_14447	MA	0.0473727	1.14756	0.0412814	3.62454e-115	1662	174.714	1487.29	NA	176	130.234	45.7662	NA	NA	0.163027	1.63034:1.59855:1.756:1.69756:1.49904:1	0.663959(0.654332:0.381769:0.955776)	-2545.01	NA	NA	NA	bacteria
Bacteria_EttA_1092-Bacteria_EttA_7892	MA	0.947127	1.20155	0.788257	1.17952e-10	1659	344.771	1314.23	NA	1139	284.412	854.588	NA	NA	1	0.922118:0.958656:0.831485:0.884676:0.698633:1	0.661844(0.803797:0.377034:0.804702)	-4215.12	NA	NA	NA	bacteria
Bacteria_EttA_1098-Bacteria_EttA_2700	MA	1.07615	0.819563	1.31308	6.04993e-08	1665	494.15	1170.85	NA	933	226.939	706.061	NA	NA	1	1.17566:1.85729:1.02139:1.24529:0.914158:1	0.631532(0.866667:0.369369:0.658559)	-4080.86	NA	NA	NA	bacteria
Bacteria_EttA_1106-Bacteria_EttA_2670	MA	1.04424	0.883401	1.18206	5.78957e-05	1647	452.994	1194.01	NA	1086	263.868	822.132	NA	NA	1	0.991813:1.06541:0.924494:0.934683:0.785957:1	0.590771(0.754098:0.372495:0.645719)	-4335.08	NA	NA	NA	bacteria
Bacteria_EttA_1106-Bacteria_EttA_5295	MA	1.04419	0.889916	1.17336	8.46472e-05	1638	469.185	1168.81	NA	1082	275.808	806.192	NA	NA	1	1.06444:1.24893:0.856347:1.02955:0.708072:1	0.596764(0.774725:0.374542:0.641026)	-4290.44	NA	NA	NA	bacteria
Bacteria_EttA_13356-Bacteria_EttA_16257	MA	0.947199	1.20244	0.787732	1.08584e-10	1656	342.577	1313.42	NA	1135	282.329	852.671	NA	NA	1	0.900141:0.915929:0.811888:0.863714:0.645054:1	0.664553(0.810688:0.374094:0.808877)	-4192.95	NA	NA	NA	bacteria
Bacteria_EttA_13951-Bacteria_EttA_14447	MA	0.946784	1.21609	0.778547	1.15749e-11	1656	327.234	1328.77	NA	1137	273.228	863.772	NA	NA	1	0.920124:0.945518:0.827238:0.872205:0.645861:1	0.653382(0.762681:0.384058:0.813406)	-4246.11	NA	NA	NA	bacteria
Bacteria_EttA_14347-Bacteria_EttA_14995	MA	1.06334	0.850821	1.24978	4.68062e-09	1668	497.11	1170.89	NA	1147	290.842	856.158	NA	NA	1	0.930595:1.05613:0.818835:0.947247:0.753835:1	0.640588(0.875899:0.377698:0.668165)	-4243.22	NA	NA	NA	bacteria
Bacteria_EttA_14995-Bacteria_EttA_15734	MA	0.939972	1.24044	0.75777	2.20715e-13	1662	332.03	1329.97	NA	1119	277.303	841.697	NA	NA	1	0.855766:0.858638:0.804081:0.807873:0.70209:1	0.661252(0.796931:0.378159:0.808664)	-4204.26	NA	NA	NA	bacteria
Bacteria_EttA_15791-Bacteria_EttA_16182	MA	1.04551	0.898406	1.16374	0.00075936	1662	514.148	1147.85	NA	1004	279.038	724.962	NA	NA	1	1.15303:1.17428:1.06419:1.1916:0.765204:1	0.657341(0.933213:0.372744:0.666065)	-3972.17	NA	NA	NA	bacteria
Bacteria_EttA_15831-Bacteria_EttA_16013	MA	0.938358	1.24361	0.754542	3.99514e-16	1659	335.014	1323.99	NA	1164	292.317	871.683	NA	NA	1	1.0441:1.06088:0.94527:0.999359:0.748473:1	0.663954(0.797468:0.385172:0.809222)	-4239.05	NA	NA	NA	bacteria
Bacteria_EttA_1590-Bacteria_EttA_10488	MA	0.963932	1.15416	0.835182	5.45216e-06	1653	313.419	1339.58	NA	1133	247.941	885.059	NA	NA	1	1.0404:1.03186:0.938265:0.933815:0.851697:1	0.646703(0.750454:0.377495:0.81216)	-4237.38	NA	NA	NA	bacteria
Bacteria_EttA_1607-Bacteria_EttA_2011	MA	0.949856	1.20889	0.785728	7.16085e-12	1638	317.085	1320.91	NA	1169	273.567	895.433	NA	NA	1	0.727679:0.769407:0.73319:0.755204:0.851677:1	0.583639(0.6337:0.371795:0.745421)	-4434.96	NA	NA	NA	bacteria
Bacteria_EttA_1607-Bacteria_EttA_7051	MA	0.142149	7.03294	0.0202119	0	1671	208.027	1462.97	NA	405	354.597	50.4033	NA	NA	1	0.634913:0.691961:0.632965:0.642427:0.589125:1	0.644524(0.658887:0.378815:0.895871)	-3174.03	NA	NA	NA	bacteria
Bacteria_EttA_1611-Bacteria_EttA_14732	MA	0.953075	1.19645	0.796584	4.16461e-10	1659	319.865	1339.14	NA	1166	268.977	897.023	NA	NA	1	0.772348:0.789557:0.742418:0.783579:0.787192:1	0.609705(0.684448:0.371609:0.773056)	-4410.35	NA	NA	NA	bacteria
Bacteria_EttA_1611-Bacteria_EttA_1626	MA	0.0254999	1.50956	0.0168923	5.13727e-167	1650	188.116	1461.88	NA	181	159.997	21.0032	NA	NA	0.194697	0.815475:0.526593:1.14721:0.61047:0.562683:1	0.640606(0.66:0.367273:0.894545)	-2567.27	NA	NA	NA	bacteria
Bacteria_EttA_1619-Bacteria_EttA_16819	MA	0.954011	1.19448	0.798685	4.43543e-09	1665	318.428	1346.57	NA	1139	260.195	878.805	NA	NA	1	0.706261:0.749595:0.70228:0.712953:0.767207:1	0.624324(0.718018:0.37027:0.784685)	-4355.85	NA	NA	NA	bacteria
Bacteria_EttA_1626-Bacteria_EttA_10356	MA	0.971856	1.09929	0.884077	0.00175189	1641	362.416	1278.58	NA	1115	270.698	844.302	NA	NA	1	0.982708:1.01235:0.900467:0.906675:0.822167:1	0.652651(0.80713:0.372943:0.777879)	-4195.94	NA	NA	NA	bacteria
Bacteria_EttA_1783-Bacteria_EttA_8049	MA	0.126255	5.90938	0.0213651	0	1674	189.31	1484.69	NA	371	317.757	53.2429	NA	NA	0.780261	0.587201:0.85959:0.774452:0.82907:0.564329:1	0.658901(0.660394:0.38172:0.934588)	-3035.93	NA	NA	NA	bacteria
Bacteria_EttA_1807-Bacteria_EttA_10390	MA	0.154312	0.0748694	2.06108	1.80343e-05	1662	524.329	1137.67	NA	187	34.1736	152.826	NA	NA	0.129249	3.23671:3.40927:2.63856:4.64911:1.09101:1	0.666065(0.957581:0.384477:0.656137)	-2694.41	NA	NA	NA	bacteria
Bacteria_EttA_1807-Bacteria_EttA_4039	MA	0.955121	1.17561	0.812451	1.41056e-07	1662	338.295	1323.71	NA	1109	265.373	843.627	NA	NA	1	0.931521:0.920816:0.792418:0.860796:0.530926:1	0.668773(0.814982:0.379964:0.811372)	-4155.44	NA	NA	NA	bacteria
Bacteria_EttA_1807-Bacteria_EttA_7759	MA	1.05053	0.888894	1.18184	0.000190721	1659	518.612	1140.39	NA	997	277.039	719.961	NA	NA	1	1.03524:1.00276:0.907713:1.01276:0.642663:1	0.655817(0.926763:0.377939:0.662749)	-4003.79	NA	NA	NA	bacteria
Bacteria_EttA_2218-Bacteria_EttA_5330	MA	1.04593	0.897676	1.16515	4.74159e-05	1653	512.124	1140.88	NA	1132	314.824	817.176	NA	NA	1	1.8193:1.94552:1.65308:1.88034:1.07895:1	0.655172(0.927405:0.37931:0.658802)	-4102.38	NA	NA	NA	bacteria
Bacteria_EttA_2316-Bacteria_EttA_6548	MA	0.948794	1.20045	0.790364	5.41414e-10	1671	340.003	1331	NA	1127	275.281	851.719	NA	NA	1	0.822593:0.834498:0.783861:0.790778:0.707233:1	0.651107(0.790844:0.368941:0.793537)	-4263.63	NA	NA	NA	bacteria
Bacteria_EttA_2329-Bacteria_EttA_10473	MA	0.970514	1.10301	0.879881	0.00101148	1662	369.874	1292.13	NA	1128	276.892	851.108	NA	NA	1	1.03405:1.02888:0.884911:0.95754:0.592361:1	0.651023(0.800542:0.374549:0.777978)	-4260.12	NA	NA	NA	bacteria
Bacteria_EttA_2352-Bacteria_EttA_16819	MA	1.04667	0.889937	1.17612	0.000218181	1662	494.922	1167.08	NA	1022	270.842	751.158	NA	NA	1	1.07651:1.18063:0.985512:1.03813:0.75485:1	0.626354(0.848375:0.369134:0.661552)	-4177.77	NA	NA	NA	bacteria
Bacteria_EttA_2452-Bacteria_EttA_6182	MA	0.150239	7.85824	0.0191186	0	1662	166.103	1495.9	NA	327	278.968	48.0323	NA	NA	0.920592	0.64612:0.639601:0.582536:0.671535:0.438377:1	0.674188(0.666968:0.388087:0.967509)	-2920.88	NA	NA	NA	bacteria
Bacteria_EttA_2689-Bacteria_EttA_5165	MA	0.911575	1.40997	0.646522	1.02577e-51	1656	293.81	1362.19	NA	1177	294.436	882.564	NA	NA	1	1.12262:1.07832:1.15159:1.15897:0.974502:1	0.639191(0.712862:0.38587:0.818841)	-4298.59	NA	NA	NA	bacteria
Bacteria_EttA_2700-Bacteria_EttA_15957	MA	1.07899	0.817224	1.32032	1.18408e-09	1668	503.355	1164.65	NA	1013	249.821	763.179	NA	NA	1	0.979949:1.11052:0.939591:1.07415:0.863246:1	0.647182(0.906475:0.379496:0.655576)	-4100.06	NA	NA	NA	bacteria
Bacteria_EttA_2700-Bacteria_EttA_4235	MA	0.964606	1.13102	0.852862	1.88589e-05	1671	355.397	1315.6	NA	1152	277.116	874.884	NA	NA	1	0.875329:0.913189:0.830504:0.838755:0.861337:1	0.666068(0.820467:0.375224:0.802513)	-4226.37	NA	NA	NA	bacteria
Bacteria_EttA_2969-Bacteria_EttA_10886	MA	1.03957	0.913477	1.13804	0.000759847	1659	520.655	1138.34	NA	1104	316.498	787.502	NA	NA	1	0.898957:0.992101:0.854744:0.907888:0.769824:1	0.648583(0.916817:0.369801:0.659132)	-4113.06	NA	NA	NA	bacteria
Bacteria_EttA_3044-Bacteria_EttA_4016	MA	0.950427	1.20839	0.78652	4.79972e-12	1635	314.196	1320.8	NA	1173	272.389	900.611	NA	NA	1	1.13513:1.13969:1.13618:1.13268:1.09999:1	0.656269(0.737615:0.413761:0.817431)	-4265.41	NA	NA	NA	bacteria
Bacteria_EttA_3129-Bacteria_EttA_3985	MA	0.96131	1.1519	0.834542	6.85156e-07	1662	337.387	1324.61	NA	1169	273.355	895.645	NA	NA	1	0.784407:0.785749:0.756071:0.767561:0.755407:1	0.651023(0.787906:0.367329:0.797834)	-4257.89	NA	NA	NA	bacteria
Bacteria_EttA_3129-Bacteria_EttA_6573	MA	1.05774	0.867416	1.21941	1.39179e-05	1671	506.932	1164.07	NA	999	262.885	736.115	NA	NA	1	1.03781:1.12612:1.02423:1.10835:0.806023:1	0.6538(0.926391:0.369838:0.665171)	-4016.72	NA	NA	NA	bacteria
Bacteria_EttA_3280-Bacteria_EttA_14635	MA	0.946547	1.1986	0.789711	2.61092e-10	1674	355.009	1318.99	NA	1136	288.76	847.24	NA	NA	1	0.868155:0.909434:0.824018:0.84259:0.852901:1	0.659797(0.80914:0.373656:0.796595)	-4255.67	NA	NA	NA	bacteria
Bacteria_EttA_3363-Bacteria_EttA_8089	MA	0.941855	1.23052	0.765415	5.027e-13	1662	334.775	1327.22	NA	1133	280.827	852.173	NA	NA	1	0.834545:0.940781:0.694289:0.83797:0.704979:1	0.674188(0.811372:0.382671:0.82852)	-4163.11	NA	NA	NA	bacteria
Bacteria_EttA_3561-Bacteria_EttA_4228	MA	0.139897	3.56104	0.0392856	0	1671	236.907	1434.09	NA	390	315.072	74.9277	NA	NA	0.624932	0.704726:0.991521:0.796585:0.96641:0.555126:1	0.630461(0.66158:0.369838:0.859964)	-3202	NA	NA	NA	bacteria
Bacteria_EttA_4144-Bacteria_EttA_15404	MA	0.964107	1.15224	0.836722	4.0384e-06	1656	315.941	1340.06	NA	1140	250.608	889.392	NA	NA	1	1.03788:1.02748:0.935149:0.931565:0.869086:1	0.655797(0.76721:0.380435:0.819746)	-4246.18	NA	NA	NA	bacteria
Bacteria_EttA_4144-Bacteria_EttA_6224	MA	0.120717	6.19054	0.0195002	0	1662	177.279	1484.72	NA	317	272.497	44.5029	NA	NA	0.76816	0.714164:0.963167:0.595456:0.875529:0.411258:1	0.66787(0.666065:0.379964:0.957581)	-2869.84	NA	NA	NA	bacteria
Bacteria_EttA_4228-Bacteria_EttA_10723	MA	0.967794	1.09979	0.879979	0.000550932	1662	405.504	1256.5	NA	1142	306.437	835.563	NA	NA	1	1.06497:1.09903:0.920628:1.01931:0.680976:1	0.638387(0.796029:0.388989:0.730144)	-4339.69	NA	NA	NA	bacteria
Bacteria_EttA_4228-Bacteria_EttA_6497	MA	0.134577	4.63588	0.0290294	0	1662	216.858	1445.14	NA	388	325.107	62.8928	NA	NA	0.721907	0.82669:1.39699:0.627394:0.700255:0.439244:1	0.633875(0.654332:0.376354:0.870939)	-3173.44	NA	NA	NA	bacteria
Bacteria_EttA_4331-Bacteria_EttA_10207	MA	0.948482	1.20316	0.788327	2.6248e-10	1641	331.957	1309.04	NA	1119	272.349	846.651	NA	NA	1	0.784939:0.818386:0.722447:0.778243:0.665717:1	0.671846(0.818099:0.382084:0.815356)	-4135.16	NA	NA	NA	bacteria
Bacteria_EttA_4676-Bacteria_EttA_14063	MA	0.958673	1.15877	0.82732	4.504e-07	1668	344.498	1323.5	NA	1146	274.266	871.734	NA	NA	1	0.784396:0.785904:0.693917:0.783757:0.588271:1	0.671763(0.819245:0.384892:0.811151)	-4228.39	NA	NA	NA	bacteria
Bacteria_EttA_4676-Bacteria_EttA_15791	MA	0.941052	1.23544	0.761714	1.99503e-13	1674	335.198	1338.8	NA	1139	281.768	857.232	NA	NA	1	0.75143:0.695748:0.713312:0.716094:0.78951:1	0.653524(0.78405:0.37276:0.803763)	-4265.89	NA	NA	NA	bacteria
Bacteria_EttA_4803-Bacteria_EttA_11115	MA	0.937935	1.24219	0.755069	8.51941e-15	1662	339.037	1322.96	NA	1140	288.873	851.127	NA	NA	1	0.960284:0.974596:0.831763:0.903859:0.56874:1	0.664561(0.801444:0.379964:0.812274)	-4217.55	NA	NA	NA	bacteria
Bacteria_EttA_4803-Bacteria_EttA_5792	MA	0.942656	1.22694	0.768296	1.33144e-12	1662	335.242	1326.76	NA	1133	280.403	852.597	NA	NA	1	0.964056:1.02203:0.810307:0.916602:0.666114:1	0.667569(0.802347:0.386282:0.814079)	-4210.85	NA	NA	NA	bacteria
Bacteria_EttA_4965-Bacteria_EttA_13951	MA	0.929123	1.29616	0.716827	7.3495e-21	1659	320.362	1338.64	NA	1140	285.337	854.663	NA	NA	1	0.800344:0.840718:0.761974:0.780957:0.695063:1	0.65642(0.762206:0.384268:0.822785)	-4244.69	NA	NA	NA	bacteria
Bacteria_EttA_5003-Bacteria_EttA_9886	MA	0.947996	1.19647	0.792329	1.85706e-10	1659	347.219	1311.78	NA	1143	286.223	856.777	NA	NA	1	0.767906:0.790665:0.694866:0.763109:0.631109:1	0.667571(0.809222:0.379747:0.813743)	-4210.69	NA	NA	NA	bacteria
Bacteria_EttA_5165-Bacteria_EttA_10616	MA	0.121658	4.3727	0.0278222	0	1641	144.105	1496.89	NA	300	232.738	67.2621	NA	NA	0.494964	0.376648:0.964139:0.406874:0.736605:0.524918:1	0.678245(0.665448:0.391225:0.978062)	-2765.91	NA	NA	NA	bacteria
Bacteria_EttA_5276-Bacteria_EttA_6354	MA	0.942826	1.21853	0.773738	8.87658e-13	1662	344.65	1317.35	NA	1149	290.338	858.662	NA	NA	1	0.970102:0.982267:0.838018:0.922506:0.596498:1	0.656438(0.787906:0.382671:0.798736)	-4258.85	NA	NA	NA	bacteria
Bacteria_EttA_6011-Bacteria_EttA_10446	MA	0.964624	1.13994	0.846206	1.98657e-05	1659	334.764	1324.24	NA	1123	258.317	864.683	NA	NA	1	0.760695:0.771095:0.66506:0.747804:0.5521:1	0.674804(0.823689:0.382459:0.818264)	-4169.14	NA	NA	NA	bacteria
Bacteria_EttA_6448-Bacteria_EttA_9942	MA	1.04301	0.906063	1.15115	0.00040562	1641	515.417	1125.58	NA	1080	307.349	772.651	NA	NA	1	0.724159:0.72949:0.692113:0.773201:0.639593:1	0.666362(0.959781:0.3766:0.662706)	-3946.7	NA	NA	NA	bacteria
Bacteria_EttA_6464-Bacteria_EttA_14215	MA	0.925903	1.32251	0.700109	1.18048e-22	1671	312.187	1358.81	NA	1129	278.954	850.046	NA	NA	1	0.722724:0.734854:0.708097:0.714415:0.702607:1	0.666966(0.79623:0.376122:0.828546)	-4210.55	NA	NA	NA	bacteria
Bacteria_EttA_6757-Bacteria_EttA_10473	MA	0.948895	1.18598	0.800094	3.53893e-09	1659	357.605	1301.39	NA	1122	286.832	835.168	NA	NA	1	0.962967:0.96529:0.837023:0.90589:0.6125:1	0.666667(0.811935:0.382459:0.805606)	-4197.2	NA	NA	NA	bacteria
Bacteria_EttA_7376-Bacteria_EttA_7513	MA	0.0961065	7.98899	0.0120299	0	1671	191.363	1479.64	NA	310	283.619	26.3811	NA	NA	1	0.584617:1.06314:0.593081:0.862297:0.236521:1	0.662478(0.674147:0.37702:0.936266)	-2870.06	NA	NA	NA	bacteria
Bacteria_EttA_738-Bacteria_EttA_10690	MA	0.137729	2.23713	0.0615653	0	1662	181.428	1480.57	NA	318	211.659	106.341	NA	NA	0.366904	0.533499:0.831915:0.514422:0.840879:0.420044:1	0.666366(0.670578:0.371841:0.956679)	-2919.33	NA	NA	NA	bacteria
Bacteria_EttA_7465-Bacteria_EttA_10800	MA	1.03354	0.926373	1.11569	0.0154564	1665	521.1	1143.9	NA	988	286.451	701.549	NA	NA	1	0.883697:0.904536:0.937365:0.968417:0.872502:1	0.665766(0.955856:0.377477:0.663964)	-3935.76	NA	NA	NA	bacteria
Bacteria_EttA_7920-Bacteria_EttA_16458	MA	0.939507	1.23486	0.76082	1.62774e-15	1641	336.103	1304.9	NA	1159	293.133	865.867	NA	NA	1	0.932147:0.953577:0.866387:0.875593:0.777757:1	0.654174(0.778793:0.383912:0.799817)	-4224.97	NA	NA	NA	bacteria
Bacteria_EttA_8089-Bacteria_EttA_15170	MA	0.940076	1.24509	0.755026	7.25534e-15	1662	326.521	1335.48	NA	1147	280.572	866.428	NA	NA	1	0.780851:0.839097:0.674801:0.793952:0.662295:1	0.681107(0.8213:0.390794:0.831227)	-4169.39	NA	NA	NA	bacteria
Bacteria_EttA_8160-Bacteria_EttA_10446	MA	0.137907	3.50393	0.0393577	0	1662	183.647	1478.35	NA	339	257.437	81.5632	NA	NA	0.509844	0.618581:0.937503:0.766397:0.907129:0.53693:1	0.660349(0.661552:0.382671:0.936823)	-2998.26	NA	NA	NA	bacteria
Bacteria_EttA_9320-Bacteria_EttA_10542	MA	1.08831	0.789386	1.37868	5.20219e-08	1662	490.99	1171.01	NA	815	190.059	624.941	NA	NA	1	0.901289:1.29818:0.685688:1.06537:0.72832:1	0.645006(0.886282:0.369134:0.679603)	-3947.14	NA	NA	NA	bacteria
Bacteria_EttA_981-Bacteria_EttA_4144	MA	0.12543	4.56949	0.0274494	0	1659	191.333	1467.67	NA	334	275.906	58.0941	NA	NA	0.637964	0.694789:0.947351:0.82086:0.943441:0.49834:1	0.656721(0.661844:0.384268:0.924051)	-2989.21	NA	NA	NA	bacteria
Bacteria_EttA_9886-Bacteria_EttA_10326	MA	0.976357	1.08021	0.903861	0.00826537	1677	381.795	1295.2	NA	1153	283.553	869.447	NA	NA	1	0.854999:0.892166:0.759792:0.85962:0.70043:1	0.652952(0.806798:0.382826:0.769231)	-4301.4	NA	NA	NA	bacteria
Bacteria_EttA_9942-Bacteria_EttA_10420	MA	0.143616	0.0612685	2.34405	1.57212e-06	1641	524.92	1116.08	NA	172	28.7439	143.256	NA	NA	0.117275	4.16655:4.4692:3.44775:5.77088:2.08491:1	0.666667(0.968007:0.3766:0.655393)	-2609.47	NA	NA	NA	bacteria
