abb	kingdom	order	family	full	ARG	AR	phylum	lastLevel
Bacteria_ileS2_2	Bacteria	Burkholderiales	Burkholderiaceae	Q62CD5.1	ileS2	noEvidence	NA	Burkholderia mallei
Bacteria_ileS2_3	Bacteria	Burkholderiales	Burkholderiaceae	Q63KP6.1	ileS2	noEvidence	NA	Burkholderia pseudomallei
Bacteria_ileS2_4	Bacteria	Pseudomonadales	Pseudomonadaceae	Q8L1B1.3	ileS2	mupirocin	NA	Pseudomonas fluorescens group
Bacteria_ileS2_5	Bacteria	Bacillales	Bacillaceae	Q81R75.1	ileS2	noEvidence	NA	Bacillus cereus group
Bacteria_ileS2_6	Bacteria	Bacillales	Bacillaceae	Q739A1.1	ileS2	noEvidence	NA	Bacillus cereus
Bacteria_ileS2_7	Bacteria	Bacillales	Bacillaceae	Q81E30.2	ileS2	noEvidence	NA	Bacillus cereus
Bacteria_ileS2_8	Bacteria	Bacillales	Bacillaceae	Q63BZ8.1	ileS2	noEvidence	NA	Bacillus cereus
Bacteria_ileS2_9	Bacteria	Bacillales	Bacillaceae	Q6HJF2.1	ileS2	noEvidence	NA	[Bacillus thuringiensis] serovar konkukian
Bacteria_ileS2_10	Bacteria	Bacillales	Bacillaceae	Q8ET99.1	ileS2	noEvidence	NA	Oceanobacillus iheyensis
Eukaryota_ileS_1	Eukaryota	Schizosaccharomycetales	Schizosaccharomycetaceae	Q9USL3.1	NA	NA	NA	Schizosaccharomyces pombe
Eukaryota_ileS_2	Eukaryota	Saccharomycetales	Saccharomycetaceae	P09436.1	NA	NA	NA	Saccharomyces cerevisiae
Eukaryota_ileS_3	Eukaryota	Saccharomycetales	Saccharomycetaceae	P48526.2	NA	NA	NA	Saccharomyces cerevisiae
Eukaryota_ileS_4	Eukaryota	furtherCheck	furtherCheck	B7XK16.1	NA	NA	NA	Enterocytozoon bieneusi
Eukaryota_ileS_5	Eukaryota	furtherCheck	furtherCheck	Q8BIJ6.1	NA	NA	NA	Mus
Eukaryota_ileS_6	Eukaryota	furtherCheck	furtherCheck	Q4R646.2	NA	NA	NA	Macaca
Eukaryota_ileS_7	Eukaryota	furtherCheck	furtherCheck	Q9NSE4.2	NA	NA	NA	Homo
Eukaryota_ileS_8	Eukaryota	furtherCheck	furtherCheck	Q5ZKA2.1	NA	NA	NA	Gallus
Eukaryota_ileS_9	Eukaryota	furtherCheck	furtherCheck	Q21926.1	NA	NA	NA	Caenorhabditis
Eukaryota_ileS_10	Eukaryota	Brassicales	Brassicaceae	Q8RXK8.1	NA	NA	NA	Arabidopsis
Eukaryota_ileS_11	Eukaryota	NA	NA	4096.XP_009759400.1	NA	NA	NA	Nicotiana sylvestris
Eukaryota_ileS_12	Eukaryota	NA	NA	4098.XP_009617388.1	NA	NA	NA	Nicotiana tomentosiformis
Eukaryota_ileS_13	Eukaryota	NA	NA	159749.K0R5E0	NA	NA	NA	Thalassiosira oceanica
Eukaryota_ileS_14	Eukaryota	NA	NA	67593.Physo108612	NA	NA	NA	Phytophthora sojae
Eukaryota_ileS_15	Eukaryota	NA	NA	118797.XP_007468241.1	NA	NA	NA	Lipotes vexillifer
Eukaryota_ileS_16	Eukaryota	NA	NA	4113.PGSC0003DMT400034732	NA	NA	NA	Solanum tuberosum
Eukaryota_ileS_17	Eukaryota	NA	NA	61459.XP_007782854.1	NA	NA	NA	Coniosporium apollinis
Eukaryota_ileS_18	Eukaryota	NA	NA	34839.XP_005408975.1	NA	NA	NA	Chinchilla lanigera
Eukaryota_ileS_19	Eukaryota	NA	NA	34839.XP_005408985.1	NA	NA	NA	Chinchilla lanigera
Eukaryota_ileS_20	Eukaryota	NA	NA	470704.XP_007759914.1	NA	NA	NA	Cladophialophora yegresii
Eukaryota_ileS_21	Eukaryota	NA	NA	6183.Smp_041600.1	NA	NA	NA	Schistosoma mansoni
Eukaryota_ileS_22	Eukaryota	NA	NA	15368.BRADI1G30610.1	NA	NA	NA	Brachypodium distachyon
Eukaryota_ileS_23	Eukaryota	NA	NA	36914.XP_001524021.1	NA	NA	NA	Lodderomyces elongisporus
Eukaryota_ileS_24	Eukaryota	NA	NA	36914.XP_001524022.1	NA	NA	NA	Lodderomyces elongisporus
Eukaryota_ileS_25	Eukaryota	NA	NA	4155.Migut.D00680.1.p	NA	NA	NA	Erythranthe guttata
Eukaryota_ileS_26	Eukaryota	NA	NA	208960.XP_007266605.1	NA	NA	NA	Fomitiporia mediterranea
Eukaryota_ileS_27	Eukaryota	NA	NA	28737.XP_006900797.1	NA	NA	NA	Elephantulus edwardii
Eukaryota_ileS_28	Eukaryota	NA	NA	6211.A0A068Y063	NA	NA	NA	Echinococcus multilocularis
Eukaryota_ileS_29	Eukaryota	NA	NA	59463.ENSMLUP00000013843	NA	NA	NA	Myotis lucifugus
Eukaryota_ileS_30	Eukaryota	NA	NA	698440.XP_007295259.1	NA	NA	NA	Marssonina brunnea
Eukaryota_ileS_31	Eukaryota	NA	NA	45130.XP_007705214.1	NA	NA	NA	Bipolaris sorokiniana
Eukaryota_ileS_32	Eukaryota	NA	NA	106582.XP_004548609.1	NA	NA	NA	Maylandia zebra
Eukaryota_ileS_33	Eukaryota	NA	NA	63577.G9NX67	NA	NA	NA	Trichoderma atroviride
Eukaryota_ileS_34	Eukaryota	NA	NA	981085.XP_010097489.1	NA	NA	NA	Morus notabilis
Eukaryota_ileS_35	Eukaryota	NA	NA	6238.CBG23754	NA	NA	NA	Caenorhabditis briggsae
Eukaryota_ileS_36	Eukaryota	NA	NA	45151.EDU39639	NA	NA	NA	Pyrenophora tritici-repentis
Eukaryota_ileS_37	Eukaryota	NA	NA	45151.EDU42320	NA	NA	NA	Pyrenophora tritici-repentis
Eukaryota_ileS_38	Eukaryota	NA	NA	45157.CMT280CT	NA	NA	NA	Cyanidioschyzon merolae
Eukaryota_ileS_39	Eukaryota	NA	NA	936053.I1CG62	NA	NA	NA	Rhizopus delemar
Eukaryota_ileS_40	Eukaryota	NA	NA	381046.XP_002552510.1	NA	NA	NA	Lachancea thermotolerans
Eukaryota_ileS_41	Eukaryota	NA	NA	225400.XP_006759045.1	NA	NA	NA	Myotis davidii
Eukaryota_ileS_42	Eukaryota	NA	NA	225400.XP_006757467.1	NA	NA	NA	Myotis davidii
Eukaryota_ileS_43	Eukaryota	NA	NA	5141.EFNCRP00000002627	NA	NA	NA	Neurospora crassa
Eukaryota_ileS_44	Eukaryota	NA	NA	293227.XP_008715570.1	NA	NA	NA	Cyphellophora europaea
Eukaryota_ileS_45	Eukaryota	NA	NA	65672.G4TAJ1	NA	NA	NA	Piriformospora indica
Eukaryota_ileS_46	Eukaryota	NA	NA	51337.XP_004652353.1	NA	NA	NA	Jaculus jaculus
Eukaryota_ileS_47	Eukaryota	NA	NA	161934.XP_010671810.1	NA	NA	NA	Beta vulgaris
Eukaryota_ileS_48	Eukaryota	NA	NA	43151.ADAC007179-PA	NA	NA	NA	Anopheles darlingi
Eukaryota_ileS_49	Eukaryota	NA	NA	59538.XP_005971582.1	NA	NA	NA	Pantholops hodgsonii
Eukaryota_ileS_50	Eukaryota	NA	NA	176275.XP_008603656.1	NA	NA	NA	Beauveria bassiana
Eukaryota_ileS_51	Eukaryota	NA	NA	176275.XP_008596210.1	NA	NA	NA	Beauveria bassiana
Eukaryota_ileS_52	Eukaryota	NA	NA	69781.S8ATY8	NA	NA	NA	Penicillium oxalicum
Eukaryota_ileS_53	Eukaryota	NA	NA	43179.ENSSTOP00000013608	NA	NA	NA	Ictidomys tridecemlineatus
Eukaryota_ileS_54	Eukaryota	NA	NA	8364.ENSXETP00000063006	NA	NA	NA	Xenopus (Silurana)
Eukaryota_ileS_55	Eukaryota	NA	NA	6326.BUX.s01653.309	NA	NA	NA	Bursaphelenchus xylophilus
Eukaryota_ileS_56	Eukaryota	NA	NA	946362.XP_004993500.1	NA	NA	NA	Salpingoeca rosetta
Eukaryota_ileS_57	Eukaryota	NA	NA	364733.XP_007786421.1	NA	NA	NA	Endocarpon pusillum
Eukaryota_ileS_58	Eukaryota	NA	NA	6334.EFV55653	NA	NA	NA	Trichinella spiralis
Eukaryota_ileS_59	Eukaryota	NA	NA	1173701.A0A066XAC8	NA	NA	NA	Colletotrichum sublineola
Eukaryota_ileS_60	Eukaryota	NA	NA	1173701.A0A066X636	NA	NA	NA	Colletotrichum sublineola
Eukaryota_ileS_61	Eukaryota	NA	NA	86049.XP_008724927.1	NA	NA	NA	Cladophialophora carrionii
Eukaryota_ileS_62	Eukaryota	NA	NA	340170.XP_007377487.1	NA	NA	NA	Spathaspora passalidarum
Eukaryota_ileS_63	Eukaryota	NA	NA	264402.Cagra.9616s0002.1.p	NA	NA	NA	Capsella grandiflora
Eukaryota_ileS_64	Eukaryota	NA	NA	264402.Cagra.12686s0002.1.p	NA	NA	NA	Capsella grandiflora
Eukaryota_ileS_65	Eukaryota	NA	NA	43228.XP_007735035.1	NA	NA	NA	Capronia epimyces
Eukaryota_ileS_66	Eukaryota	NA	NA	43229.XP_007723715.1	NA	NA	NA	Capronia coronata
Eukaryota_ileS_67	Eukaryota	NA	NA	45285.XP_003646515.1	NA	NA	NA	Eremothecium cymbalariae
Eukaryota_ileS_68	Eukaryota	NA	NA	55529.EKX47477	NA	NA	NA	Guillardia theta
Eukaryota_ileS_69	Eukaryota	NA	NA	55529.EKX54118	NA	NA	NA	Guillardia theta
Eukaryota_ileS_70	Eukaryota	NA	NA	53485.EFQ90883	NA	NA	NA	Pyrenophora teres
Eukaryota_ileS_71	Eukaryota	NA	NA	9597.XP_003807881.1	NA	NA	NA	Pan paniscus
Eukaryota_ileS_72	Eukaryota	NA	NA	866546.EPY49273	NA	NA	NA	Schizosaccharomyces cryophilus
Eukaryota_ileS_73	Eukaryota	NA	NA	1048829.XP_002790869.1	NA	NA	NA	Paracoccidioides sp.
Eukaryota_ileS_74	Eukaryota	NA	NA	6412.HelroP195134	NA	NA	NA	Helobdella robusta
Eukaryota_ileS_75	Eukaryota	NA	NA	6412.HelroP81400	NA	NA	NA	Helobdella robusta
Eukaryota_ileS_76	Eukaryota	NA	NA	1071379.XP_004182222.1	NA	NA	NA	Tetrapisispora blattae
Eukaryota_ileS_77	Eukaryota	NA	NA	8469.XP_007055642.1	NA	NA	NA	Chelonia mydas
Eukaryota_ileS_78	Eukaryota	NA	NA	7897.ENSLACP00000021524	NA	NA	NA	Latimeria chalumnae
Eukaryota_ileS_79	Eukaryota	NA	NA	8479.XP_005279973.1	NA	NA	NA	Chrysemys picta
Eukaryota_ileS_80	Eukaryota	NA	NA	42374.XP_002421210.1	NA	NA	NA	Candida dubliniensis
Eukaryota_ileS_81	Eukaryota	NA	NA	45351.EDO38650	NA	NA	NA	Nematostella vectensis
Eukaryota_ileS_82	Eukaryota	NA	NA	45351.EDO26444	NA	NA	NA	Nematostella vectensis
Eukaryota_ileS_83	Eukaryota	NA	NA	45351.EDO27984	NA	NA	NA	Nematostella vectensis
Eukaryota_ileS_84	Eukaryota	NA	NA	59689.fgenesh1_pg.C_scaffold_3002222	NA	NA	NA	Arabidopsis lyrata
Eukaryota_ileS_85	Eukaryota	NA	NA	59689.fgenesh1_pg.C_scaffold_1003664	NA	NA	NA	Arabidopsis lyrata
Eukaryota_ileS_86	Eukaryota	NA	NA	59689.fgenesh2_kg.6__3009__AT4G10320.1	NA	NA	NA	Arabidopsis lyrata
Eukaryota_ileS_87	Eukaryota	NA	NA	59689.scaffold_704013.1	NA	NA	NA	Arabidopsis lyrata
Eukaryota_ileS_88	Eukaryota	NA	NA	8496.XP_006272149.1	NA	NA	NA	Alligator mississippiensis
Eukaryota_ileS_89	Eukaryota	NA	NA	51511.ENSCSAVP00000013773	NA	NA	NA	Ciona savignyi
Eukaryota_ileS_90	Eukaryota	NA	NA	35128.Thaps36339	NA	NA	NA	Thalassiosira pseudonana
Eukaryota_ileS_91	Eukaryota	NA	NA	28985.XP_454879.1	NA	NA	NA	Kluyveromyces lactis
Eukaryota_ileS_92	Eukaryota	NA	NA	215358.XP_010744697.1	NA	NA	NA	Larimichthys crocea
Eukaryota_ileS_93	Eukaryota	NA	NA	5057.CADACLAP00001698	NA	NA	NA	Aspergillus clavatus
Eukaryota_ileS_94	Eukaryota	NA	NA	72004.XP_005901888.1	NA	NA	NA	Bos mutus
Eukaryota_ileS_95	Eukaryota	NA	NA	4432.XP_010246728.1	NA	NA	NA	Nelumbo nucifera
Eukaryota_ileS_96	Eukaryota	NA	NA	72019.SARC_18318T0	NA	NA	NA	Sphaeroforma arctica
Eukaryota_ileS_97	Eukaryota	NA	NA	72019.SARC_10766T0	NA	NA	NA	Sphaeroforma arctica
Eukaryota_ileS_98	Eukaryota	NA	NA	72019.SARC_13835T0	NA	NA	NA	Sphaeroforma arctica
Eukaryota_ileS_99	Eukaryota	NA	NA	1561998.Csp11.Scaffold630.g17782.t1	NA	NA	NA	Caenorhabditis tropicalis
Eukaryota_ileS_100	Eukaryota	NA	NA	5808.XP_002142407.1	NA	NA	NA	Cryptosporidium muris
Eukaryota_ileS_101	Eukaryota	NA	NA	83344.XP_007926504.1	NA	NA	NA	Pseudocercospora fijiensis
Eukaryota_ileS_102	Eukaryota	NA	NA	6500.XP_005110126.1	NA	NA	NA	Aplysia californica
Eukaryota_ileS_103	Eukaryota	NA	NA	33169.AAS53073	NA	NA	NA	Eremothecium gossypii
Eukaryota_ileS_104	Eukaryota	NA	NA	192875.XP_004345266.1	NA	NA	NA	Capsaspora owczarzaki
Eukaryota_ileS_105	Eukaryota	NA	NA	209285.XP_006691266.1	NA	NA	NA	Chaetomium thermophilum
Eukaryota_ileS_106	Eukaryota	NA	NA	81985.XP_006299767.1	NA	NA	NA	Capsella rubella
Eukaryota_ileS_107	Eukaryota	NA	NA	81985.XP_006286935.1	NA	NA	NA	Capsella rubella
Eukaryota_ileS_108	Eukaryota	NA	NA	121225.PHUM515270-PA	NA	NA	NA	Pediculus humanus
Eukaryota_ileS_109	Eukaryota	NA	NA	1005962.W1QJI2	NA	NA	NA	Ogataea parapolymorpha
Eukaryota_ileS_110	Eukaryota	NA	NA	29073.XP_008689079.1	NA	NA	NA	Ursus maritimus
Eukaryota_ileS_111	Eukaryota	NA	NA	393283.XP_007835797.1	NA	NA	NA	Pestalotiopsis fici
Eukaryota_ileS_112	Eukaryota	NA	NA	29078.XP_008155110.1	NA	NA	NA	Eptesicus fuscus
Eukaryota_ileS_113	Eukaryota	NA	NA	33178.CADATEAP00007534	NA	NA	NA	Aspergillus terreus
Eukaryota_ileS_114	Eukaryota	NA	NA	61853.ENSNLEP00000019833	NA	NA	NA	Nomascus leucogenys
Eukaryota_ileS_115	Eukaryota	NA	NA	303518.XP_005724732.1	NA	NA	NA	Pundamilia nyererei
Eukaryota_ileS_116	Eukaryota	NA	NA	4513.MLOC_4966.5	NA	NA	NA	Hordeum vulgare
Eukaryota_ileS_117	Eukaryota	NA	NA	430498.S8B8U8	NA	NA	NA	Dactylellina haptotyla
Eukaryota_ileS_118	Eukaryota	NA	NA	33188.XP_002582447.1	NA	NA	NA	Uncinocarpus reesii
Eukaryota_ileS_119	Eukaryota	NA	NA	4529.ORUFI02G06460.1	NA	NA	NA	Oryza rufipogon
Eukaryota_ileS_120	Eukaryota	NA	NA	4529.ORUFI06G24310.1	NA	NA	NA	Oryza rufipogon
Eukaryota_ileS_121	Eukaryota	NA	NA	4530.OS06T0645400-01	NA	NA	NA	Oryza sativa
Eukaryota_ileS_122	Eukaryota	NA	NA	4530.OS02T0183900-00	NA	NA	NA	Oryza sativa
Eukaryota_ileS_123	Eukaryota	NA	NA	5875.XP_764876.1	NA	NA	NA	Theileria parva
Eukaryota_ileS_124	Eukaryota	NA	NA	4533.OB06G30300.1	NA	NA	NA	Oryza brachyantha
Eukaryota_ileS_125	Eukaryota	NA	NA	4533.OB02G15660.1	NA	NA	NA	Oryza brachyantha
Eukaryota_ileS_126	Eukaryota	NA	NA	4533.OB12G18220.1	NA	NA	NA	Oryza brachyantha
Eukaryota_ileS_127	Eukaryota	NA	NA	4536.ONIVA06G26580.1	NA	NA	NA	Oryza nivara
Eukaryota_ileS_128	Eukaryota	NA	NA	4536.ONIVA02G07350.1	NA	NA	NA	Oryza nivara
Eukaryota_ileS_129	Eukaryota	NA	NA	4537.OPUNC02G05600.1	NA	NA	NA	Oryza punctata
Eukaryota_ileS_130	Eukaryota	NA	NA	4537.OPUNC06G20390.1	NA	NA	NA	Oryza punctata
Eukaryota_ileS_131	Eukaryota	NA	NA	4538.ORGLA02G0058700.1	NA	NA	NA	Oryza glaberrima
Eukaryota_ileS_132	Eukaryota	NA	NA	4538.ORGLA06G0189000.1	NA	NA	NA	Oryza glaberrima
Eukaryota_ileS_133	Eukaryota	NA	NA	4538.ORGLA02G0058600.1	NA	NA	NA	Oryza glaberrima
Eukaryota_ileS_134	Eukaryota	NA	NA	37727.XP_002146145.1	NA	NA	NA	Talaromyces marneffei
Eukaryota_ileS_135	Eukaryota	NA	NA	117187.FVEG_11382T0	NA	NA	NA	Fusarium verticillioides
Eukaryota_ileS_136	Eukaryota	NA	NA	9767.XP_007182456.1	NA	NA	NA	Balaenoptera acutorostrata
Eukaryota_ileS_137	Eukaryota	NA	NA	4555.Si005726m	NA	NA	NA	Setaria italica
Eukaryota_ileS_138	Eukaryota	NA	NA	4558.Sb06g002741.1	NA	NA	NA	Sorghum bicolor
Eukaryota_ileS_139	Eukaryota	NA	NA	4558.Sb10g025355.1	NA	NA	NA	Sorghum bicolor
Eukaryota_ileS_140	Eukaryota	NA	NA	4558.Sb06g002780.1	NA	NA	NA	Sorghum bicolor
Eukaryota_ileS_141	Eukaryota	NA	NA	4558.Sb06g002701.1	NA	NA	NA	Sorghum bicolor
Eukaryota_ileS_142	Eukaryota	NA	NA	4558.Sb10g025350.1	NA	NA	NA	Sorghum bicolor
Eukaryota_ileS_143	Eukaryota	NA	NA	4558.Sb04g035150.1	NA	NA	NA	Sorghum bicolor
Eukaryota_ileS_144	Eukaryota	NA	NA	4565.Traes_7DL_926D6088C.1	NA	NA	NA	Triticum aestivum
Eukaryota_ileS_145	Eukaryota	NA	NA	4565.Traes_7AL_C4A1E88AB.1	NA	NA	NA	Triticum aestivum
Eukaryota_ileS_146	Eukaryota	NA	NA	4565.Traes_7BL_D5BBB846B.1	NA	NA	NA	Triticum aestivum
Eukaryota_ileS_147	Eukaryota	NA	NA	4565.Traes_7DL_30AEE2CF6.2	NA	NA	NA	Triticum aestivum
Eukaryota_ileS_148	Eukaryota	NA	NA	4565.Traes_1AL_B45E02BBA.3	NA	NA	NA	Triticum aestivum
Eukaryota_ileS_149	Eukaryota	NA	NA	4572.TRIUR3_08914-P1	NA	NA	NA	Triticum urartu
Eukaryota_ileS_150	Eukaryota	NA	NA	4572.TRIUR3_26898-P1	NA	NA	NA	Triticum urartu
Eukaryota_ileS_151	Eukaryota	NA	NA	92637.XP_007815088.1	NA	NA	NA	Metarhizium acridum
Eukaryota_ileS_152	Eukaryota	NA	NA	92637.XP_007811971.1	NA	NA	NA	Metarhizium acridum
Eukaryota_ileS_153	Eukaryota	NA	NA	4577.GRMZM2G013773_P01	NA	NA	NA	Zea mays
Eukaryota_ileS_154	Eukaryota	NA	NA	4577.GRMZM2G348666_P01	NA	NA	NA	Zea mays
Eukaryota_ileS_155	Eukaryota	NA	NA	4577.AC203752.5_FGP002	NA	NA	NA	Zea mays
Eukaryota_ileS_156	Eukaryota	NA	NA	4577.GRMZM2G158627_P03	NA	NA	NA	Zea mays
Eukaryota_ileS_157	Eukaryota	NA	NA	4577.GRMZM5G820287_P02	NA	NA	NA	Zea mays
Eukaryota_ileS_158	Eukaryota	NA	NA	135651.CBN00305	NA	NA	NA	Caenorhabditis brenneri
Eukaryota_ileS_159	Eukaryota	NA	NA	135651.CBN21416	NA	NA	NA	Caenorhabditis brenneri
Eukaryota_ileS_160	Eukaryota	NA	NA	164328.Phyra86561	NA	NA	NA	Phytophthora ramorum
Eukaryota_ileS_161	Eukaryota	NA	NA	164328.Phyra87296	NA	NA	NA	Phytophthora ramorum
Eukaryota_ileS_162	Eukaryota	NA	NA	164328.Phyra83849	NA	NA	NA	Phytophthora ramorum
Eukaryota_ileS_163	Eukaryota	NA	NA	327079.R9NWP8	NA	NA	NA	Pseudozyma hubeiensis
Eukaryota_ileS_164	Eukaryota	NA	NA	242159.ABO94713	NA	NA	NA	Ostreococcus 'lucimarinus'
Eukaryota_ileS_165	Eukaryota	NA	NA	59894.ENSFALP00000010699	NA	NA	NA	Ficedula albicollis
Eukaryota_ileS_166	Eukaryota	NA	NA	29176.XP_003879808.1	NA	NA	NA	Neospora caninum
Eukaryota_ileS_167	Eukaryota	NA	NA	31234.CRE07960	NA	NA	NA	Caenorhabditis remanei
Eukaryota_ileS_168	Eukaryota	NA	NA	31234.CRE11089	NA	NA	NA	Caenorhabditis remanei
Eukaryota_ileS_169	Eukaryota	NA	NA	5207.AAW40802	NA	NA	NA	Cryptococcus neoformans
Eukaryota_ileS_170	Eukaryota	NA	NA	6669.EFX63983	NA	NA	NA	Daphnia pulex
Eukaryota_ileS_171	Eukaryota	NA	NA	6669.EFX63982	NA	NA	NA	Daphnia pulex
Eukaryota_ileS_172	Eukaryota	NA	NA	6669.EFX61030	NA	NA	NA	Daphnia pulex
Eukaryota_ileS_173	Eukaryota	NA	NA	6669.EFX82992	NA	NA	NA	Daphnia pulex
Eukaryota_ileS_174	Eukaryota	NA	NA	45596.XP_006685300.1	NA	NA	NA	Candida tenuis
Eukaryota_ileS_175	Eukaryota	NA	NA	4641.GSMUA_Achr10P10140_001	NA	NA	NA	Musa acuminata
Eukaryota_ileS_176	Eukaryota	NA	NA	72228.T5ACI0	NA	NA	NA	Ophiocordyceps sinensis
Eukaryota_ileS_177	Eukaryota	NA	NA	160860.XP_007349150.1	NA	NA	NA	Auricularia delicata
Eukaryota_ileS_178	Eukaryota	NA	NA	90675.XP_010456841.1	NA	NA	NA	Camelina sativa
Eukaryota_ileS_179	Eukaryota	NA	NA	90675.XP_010468405.1	NA	NA	NA	Camelina sativa
Eukaryota_ileS_180	Eukaryota	NA	NA	90675.XP_010488354.1	NA	NA	NA	Camelina sativa
Eukaryota_ileS_181	Eukaryota	NA	NA	90675.XP_010456842.1	NA	NA	NA	Camelina sativa
Eukaryota_ileS_182	Eukaryota	NA	NA	90675.XP_010421953.1	NA	NA	NA	Camelina sativa
Eukaryota_ileS_183	Eukaryota	NA	NA	90675.XP_010437218.1	NA	NA	NA	Camelina sativa
Eukaryota_ileS_184	Eukaryota	NA	NA	90675.XP_010497573.1	NA	NA	NA	Camelina sativa
Eukaryota_ileS_185	Eukaryota	NA	NA	272952.HpaP803766	NA	NA	NA	Hyaloperonospora arabidopsidis
Eukaryota_ileS_186	Eukaryota	NA	NA	6239.R11A8.6.1	NA	NA	NA	Caenorhabditis elegans
Eukaryota_ileS_187	Eukaryota	NA	NA	57918.XP_004295119.1	NA	NA	NA	Fragaria vesca
Eukaryota_ileS_188	Eukaryota	NA	NA	57918.XP_004296724.1	NA	NA	NA	Fragaria vesca
Eukaryota_ileS_189	Eukaryota	NA	NA	82508.K1WMK1	NA	NA	NA	Trichosporon asahii
Eukaryota_ileS_190	Eukaryota	NA	NA	28564.XP_002478443.1	NA	NA	NA	Talaromyces stipitatus
Eukaryota_ileS_191	Eukaryota	NA	NA	655981.L8GAU2	NA	NA	NA	Pseudogymnoascus destructans
Eukaryota_ileS_192	Eukaryota	NA	NA	162425.CADANIAP00001964	NA	NA	NA	Aspergillus nidulans
Eukaryota_ileS_193	Eukaryota	NA	NA	653948.CCA23914	NA	NA	NA	Albugo laibachii
Eukaryota_ileS_194	Eukaryota	NA	NA	653948.CCA22276	NA	NA	NA	Albugo laibachii
Eukaryota_ileS_195	Eukaryota	NA	NA	1047171.Mycgr3P32217	NA	NA	NA	Zymoseptoria tritici
Eukaryota_ileS_196	Eukaryota	NA	NA	199306.XP_003068790.1	NA	NA	NA	Coccidioides posadasii
Eukaryota_ileS_197	Eukaryota	NA	NA	746128.CADAFUBP00001299	NA	NA	NA	Aspergillus fumigatus
Eukaryota_ileS_198	Eukaryota	NA	NA	2711.XP_006494186.1	NA	NA	NA	Citrus sinensis
Eukaryota_ileS_199	Eukaryota	NA	NA	27288.XP_003676686.1	NA	NA	NA	Naumovozyma castellii
Eukaryota_ileS_200	Eukaryota	NA	NA	27289.XP_003670474.1	NA	NA	NA	Naumovozyma dairenensis
Eukaryota_ileS_201	Eukaryota	NA	NA	12957.ACEP19493-PA	NA	NA	NA	Atta cephalotes
Eukaryota_ileS_202	Eukaryota	NA	NA	101028.EKJ78485	NA	NA	NA	Fusarium pseudograminearum
Eukaryota_ileS_203	Eukaryota	NA	NA	246437.XP_006161537.1	NA	NA	NA	Tupaia chinensis
Eukaryota_ileS_204	Eukaryota	NA	NA	110365.A0A023B9V1	NA	NA	NA	Gregarina niphandrodes
Eukaryota_ileS_205	Eukaryota	NA	NA	4787.PITG_08579T0	NA	NA	NA	Phytophthora infestans
Eukaryota_ileS_206	Eukaryota	NA	NA	4792.ETI43287	NA	NA	NA	Phytophthora parasitica
Eukaryota_ileS_207	Eukaryota	NA	NA	27337.EGY18340	NA	NA	NA	Verticillium dahliae
Eukaryota_ileS_208	Eukaryota	NA	NA	115417.EPrPW00000023746	NA	NA	NA	Pythium iwayamai
Eukaryota_ileS_209	Eukaryota	NA	NA	244447.XP_008318812.1	NA	NA	NA	Cynoglossus semilaevis
Eukaryota_ileS_210	Eukaryota	NA	NA	8932.XP_005508940.1	NA	NA	NA	Columba livia
Eukaryota_ileS_211	Eukaryota	NA	NA	13037.EHJ67602	NA	NA	NA	Danaus plexippus
Eukaryota_ileS_212	Eukaryota	NA	NA	78579.XP_003666575.1	NA	NA	NA	Myceliophthora thermophila
Eukaryota_ileS_213	Eukaryota	NA	NA	264951.V5G6T4	NA	NA	NA	Byssochlamys spectabilis
Eukaryota_ileS_214	Eukaryota	NA	NA	264951.V5G3J1	NA	NA	NA	Byssochlamys spectabilis
Eukaryota_ileS_215	Eukaryota	NA	NA	80637.XP_007766512.1	NA	NA	NA	Coniophora puteana
Eukaryota_ileS_216	Eukaryota	NA	NA	5932.XP_004030993.1	NA	NA	NA	Ichthyophthirius multifiliis
Eukaryota_ileS_217	Eukaryota	NA	NA	5932.XP_004037313.1	NA	NA	NA	Ichthyophthirius multifiliis
Eukaryota_ileS_218	Eukaryota	NA	NA	568076.XP_007818881.1	NA	NA	NA	Metarhizium robertsii
Eukaryota_ileS_219	Eukaryota	NA	NA	568076.XP_007819473.1	NA	NA	NA	Metarhizium robertsii
Eukaryota_ileS_220	Eukaryota	NA	NA	84751.XP_007878799.1	NA	NA	NA	Pseudozyma flocculosa
Eukaryota_ileS_221	Eukaryota	NA	NA	4896.SPBC8D2.06.1	NA	NA	NA	Schizosaccharomyces pombe
Eukaryota_ileS_222	Eukaryota	NA	NA	4897.EEB08391	NA	NA	NA	Schizosaccharomyces japonicus
Eukaryota_ileS_223	Eukaryota	NA	NA	2850.Phatr29824	NA	NA	NA	Phaeodactylum tricornutum
Eukaryota_ileS_224	Eukaryota	NA	NA	4899.EPX74150	NA	NA	NA	Schizosaccharomyces octosporus
Eukaryota_ileS_225	Eukaryota	NA	NA	101162.XP_007690027.1	NA	NA	NA	Bipolaris oryzae
Eukaryota_ileS_226	Eukaryota	NA	NA	4909.A0A099P7G1	NA	NA	NA	Pichia kudriavzevii
Eukaryota_ileS_227	Eukaryota	NA	NA	70448.Q01EL4	NA	NA	NA	Ostreococcus tauri
Eukaryota_ileS_228	Eukaryota	NA	NA	37682.EMT02045	NA	NA	NA	Aegilops tauschii
Eukaryota_ileS_229	Eukaryota	NA	NA	588596.U9V0W0	NA	NA	NA	Rhizophagus irregularis
