Contig	Element	Start	End	MGE.type	genome
GCA_002114025.1_ViralProj384397|LT706986.1	GCA_002114025.1_ViralProj384397|LT706986.1_185	155945	157255	endonuclease	GCA.002114025.1.ViralProj384397
GCA_002114025.1_ViralProj384397|LT706986.1	GCA_002114025.1_ViralProj384397|LT706986.1_315	279351	280595	endonuclease	GCA.002114025.1.ViralProj384397
GCA_002114025.1_ViralProj384397|LT706986.1	GCA_002114025.1_ViralProj384397|LT706986.1_315	279351	280595	recombinase	GCA.002114025.1.ViralProj384397
GCA_002114025.1_ViralProj384397|LT706986.1	GCA_002114025.1_ViralProj384397|LT706986.1_332	298826	299164	endonuclease	GCA.002114025.1.ViralProj384397
GCA_002114025.1_ViralProj384397|LT706986.1	GCA_002114025.1_ViralProj384397|LT706986.1_333	299271	299783	endonuclease	GCA.002114025.1.ViralProj384397
GCA_002114025.1_ViralProj384397|LT706986.1	GCA_002114025.1_ViralProj384397|LT706986.1_372	329423	330391	endonuclease	GCA.002114025.1.ViralProj384397
GCA_002114025.1_ViralProj384397|LT706986.1	GCA_002114025.1_ViralProj384397|LT706986.1_392	349120	350148	endonuclease	GCA.002114025.1.ViralProj384397
GCA_002114025.1_ViralProj384397|LT706986.1	GCA_002114025.1_ViralProj384397|LT706986.1_393	350189	351496	endonuclease	GCA.002114025.1.ViralProj384397
GCA_002114025.1_ViralProj384397|LT706986.1	GCA_002114025.1_ViralProj384397|LT706986.1_397	353350	354057	endonuclease	GCA.002114025.1.ViralProj384397
GCA_002114025.1_ViralProj384397|LT706986.1	GCA_002114025.1_ViralProj384397|LT706986.1_420	369103	369819	endonuclease	GCA.002114025.1.ViralProj384397
GCA_002114025.1_ViralProj384397|LT706986.1	GCA_002114025.1_ViralProj384397|LT706986.1_5	3383	4339	integrase	GCA.002114025.1.ViralProj384397
GCA_002116175.1_ViralProj381648|KX552040.1	GCA_002116175.1_ViralProj381648|KX552040.1_105	91954	92745	endonuclease	GCA.002116175.1.ViralProj381648
GCA_002116175.1_ViralProj381648|KX552040.1	GCA_002116175.1_ViralProj381648|KX552040.1_144	126497	127738	IS/transposase	GCA.002116175.1.ViralProj381648
GCA_002116175.1_ViralProj381648|KX552040.1	GCA_002116175.1_ViralProj381648|KX552040.1_339	256919	257800	endonuclease	GCA.002116175.1.ViralProj381648
GCA_002116175.1_ViralProj381648|KX552040.1	GCA_002116175.1_ViralProj381648|KX552040.1_363	274710	275876	recombinase	GCA.002116175.1.ViralProj381648
GCA_002116175.1_ViralProj381648|KX552040.1	IS200/IS605	69748	70968	IS/transposase	GCA.002116175.1.ViralProj381648
GCA_002116175.1_ViralProj381648|KX552040.1	IS200/IS605	125961	127738	IS/transposase	GCA.002116175.1.ViralProj381648
GCA_002219465.1_ViralProj394314|KY382358.2	GCA_002219465.1_ViralProj394314|KY382358.2_91	95637	96074	resolvase	GCA.002219465.1.ViralProj394314
GCA_002270885.1_ViralProj399945|MF001304.1	GCA_002270885.1_ViralProj399945|MF001304.1_140	135267	135785	resolvase	GCA.002270885.1.ViralProj399945
GCA_002354965.1_ViralProj406966|MF503315.1	GCA_002354965.1_ViralProj406966|MF503315.1_111	117195	117731	resolvase	GCA.002354965.1.ViralProj406966
GCA_002354985.1_ViralProj395094|KY747497.1	GCA_002354985.1_ViralProj395094|KY747497.1_121	111038	111565	resolvase	GCA.002354985.1.ViralProj395094
GCA_002354985.1_ViralProj395094|KY747497.1	GCA_002354985.1_ViralProj395094|KY747497.1_35	25682	26362	recombinase	GCA.002354985.1.ViralProj395094
GCA_002818865.1_ASM281886v1|KJ755191.1	GCA_002818865.1_ASM281886v1|KJ755191.1_174	186291	187229	IS/transposase	GCA.002818865.1.ASM281886v1
GCA_002818865.1_ASM281886v1|KJ755191.1	GCA_002818865.1_ASM281886v1|KJ755191.1_49	55322	55654	endonuclease	GCA.002818865.1.ASM281886v1
GCA_002818865.1_ASM281886v1|KJ755191.1	GCA_002818865.1_ASM281886v1|KJ755191.1_92	100345	102165	IS/transposase	GCA.002818865.1.ASM281886v1
GCA_002826725.1_ASM282672v1|KF483846.1	GCA_002826725.1_ASM282672v1|KF483846.1_106	68007	69095	endonuclease	GCA.002826725.1.ASM282672v1
GCA_002826725.1_ASM282672v1|KF483846.1	GCA_002826725.1_ASM282672v1|KF483846.1_134	92343	93080	resolvase	GCA.002826725.1.ASM282672v1
GCA_002826725.1_ASM282672v1|KF483846.1	GCA_002826725.1_ASM282672v1|KF483846.1_183	132463	133857	endonuclease	GCA.002826725.1.ASM282672v1
GCA_002826725.1_ASM282672v1|KF483846.1	GCA_002826725.1_ASM282672v1|KF483846.1_225	163949	164812	endonuclease	GCA.002826725.1.ASM282672v1
GCA_002826725.1_ASM282672v1|KF483846.1	GCA_002826725.1_ASM282672v1|KF483846.1_229	167480	169126	endonuclease	GCA.002826725.1.ASM282672v1
GCA_002826725.1_ASM282672v1|KF483846.1	GCA_002826725.1_ASM282672v1|KF483846.1_255	188767	190092	endonuclease	GCA.002826725.1.ASM282672v1
GCA_002826725.1_ASM282672v1|KF483846.1	GCA_002826725.1_ASM282672v1|KF483846.1_277	210972	211397	endonuclease	GCA.002826725.1.ASM282672v1
GCA_002826725.1_ASM282672v1|KF483846.1	GCA_002826725.1_ASM282672v1|KF483846.1_278	211633	212268	endonuclease	GCA.002826725.1.ASM282672v1
GCA_002826725.1_ASM282672v1|KF483846.1	GCA_002826725.1_ASM282672v1|KF483846.1_313	232210	232626	endonuclease	GCA.002826725.1.ASM282672v1
GCA_002826725.1_ASM282672v1|KF483846.1	GCA_002826725.1_ASM282672v1|KF483846.1_332	241943	243457	endonuclease	GCA.002826725.1.ASM282672v1
GCA_002826725.1_ASM282672v1|KF483846.1	GCA_002826725.1_ASM282672v1|KF483846.1_362	265387	267027	endonuclease	GCA.002826725.1.ASM282672v1
GCA_002892525.1_ASM289252v1|LT906555.1	GCA_002892525.1_ASM289252v1|LT906555.1_1149	1290670	1291479	endonuclease	GCA.002892525.1.ASM289252v1
GCA_002892525.1_ASM289252v1|LT906555.1	GCA_002892525.1_ASM289252v1|LT906555.1_1220	1368335	1368901	endonuclease	GCA.002892525.1.ASM289252v1
GCA_002892525.1_ASM289252v1|LT906555.1	GCA_002892525.1_ASM289252v1|LT906555.1_1237	1386651	1387403	recombinase	GCA.002892525.1.ASM289252v1
GCA_002892525.1_ASM289252v1|LT906555.1	GCA_002892525.1_ASM289252v1|LT906555.1_242	266814	267179	endonuclease	GCA.002892525.1.ASM289252v1
GCA_002892525.1_ASM289252v1|LT906555.1	GCA_002892525.1_ASM289252v1|LT906555.1_336	375186	376052	endonuclease	GCA.002892525.1.ASM289252v1
GCA_002892525.1_ASM289252v1|LT906555.1	GCA_002892525.1_ASM289252v1|LT906555.1_360	397161	397727	endonuclease	GCA.002892525.1.ASM289252v1
GCA_002892525.1_ASM289252v1|LT906555.1	GCA_002892525.1_ASM289252v1|LT906555.1_510	542088	543212	endonuclease	GCA.002892525.1.ASM289252v1
GCA_002892525.1_ASM289252v1|LT906555.1	GCA_002892525.1_ASM289252v1|LT906555.1_527	562970	564157	endonuclease	GCA.002892525.1.ASM289252v1
GCA_002892525.1_ASM289252v1|LT906555.1	GCA_002892525.1_ASM289252v1|LT906555.1_801	873110	874219	endonuclease	GCA.002892525.1.ASM289252v1
GCA_002892525.1_ASM289252v1|LT906555.1	GCA_002892525.1_ASM289252v1|LT906555.1_886	962433	963326	endonuclease	GCA.002892525.1.ASM289252v1
GCA_002892525.1_ASM289252v1|LT906555.1	GCA_002892525.1_ASM289252v1|LT906555.1_95	97431	98435	endonuclease	GCA.002892525.1.ASM289252v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_1088	1180931	1183027	endonuclease	GCA.002924545.1.ASM292454v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_118	112333	113043	endonuclease	GCA.002924545.1.ASM292454v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_230	213304	214308	endonuclease	GCA.002924545.1.ASM292454v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_265	245928	246758	endonuclease	GCA.002924545.1.ASM292454v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_333	331045	332115	endonuclease	GCA.002924545.1.ASM292454v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_336	334685	335605	endonuclease	GCA.002924545.1.ASM292454v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_371	380653	381429	endonuclease	GCA.002924545.1.ASM292454v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_453	486007	487035	endonuclease	GCA.002924545.1.ASM292454v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_502	545715	546536	endonuclease	GCA.002924545.1.ASM292454v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_505	547831	549144	endonuclease	GCA.002924545.1.ASM292454v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_543	601232	602818	endonuclease	GCA.002924545.1.ASM292454v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_543	601232	602818	recombinase	GCA.002924545.1.ASM292454v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_586	663049	666723	endonuclease	GCA.002924545.1.ASM292454v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_604	682228	683136	endonuclease	GCA.002924545.1.ASM292454v1
GCA_002924545.1_ASM292454v1|KU877344.1	GCA_002924545.1_ASM292454v1|KU877344.1_670	771626	772156	endonuclease	GCA.002924545.1.ASM292454v1
GCA_002937195.1_ASM293719v1|KY747489.1	GCA_002937195.1_ASM293719v1|KY747489.1_115	96783	97496	recombinase	GCA.002937195.1.ASM293719v1
GCA_002966215.1_ASM296621v1|KY684085.1	GCA_002966215.1_ASM296621v1|KY684085.1_146	174542	175345	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684085.1	GCA_002966215.1_ASM296621v1|KY684085.1_244	264144	265148	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684085.1	GCA_002966215.1_ASM296621v1|KY684085.1_27	27491	28648	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684085.1	GCA_002966215.1_ASM296621v1|KY684085.1_29	29971	30912	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684085.1	IS630	29736	30837	IS/transposase	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684086.1	GCA_002966215.1_ASM296621v1|KY684086.1_125	138234	138599	IS/transposase	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684086.1	GCA_002966215.1_ASM296621v1|KY684086.1_127	141208	142146	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684086.1	GCA_002966215.1_ASM296621v1|KY684086.1_127	141208	142146	IS/transposase	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684086.1	GCA_002966215.1_ASM296621v1|KY684086.1_128	142326	143357	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684086.1	GCA_002966215.1_ASM296621v1|KY684086.1_128	142326	143357	IS/transposase	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684086.1	GCA_002966215.1_ASM296621v1|KY684086.1_131	144527	146551	IS/transposase	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684086.1	GCA_002966215.1_ASM296621v1|KY684086.1_23	28908	30038	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684086.1	IS200/IS605	138234	138599	IS/transposase	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684086.1	IS630	141155	142149	IS/transposase	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684086.1	IS630	141905	143506	IS/transposase	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684087.1	GCA_002966215.1_ASM296621v1|KY684087.1_3	3218	4783	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684087.1	GCA_002966215.1_ASM296621v1|KY684087.1_48	69595	71613	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684087.1	GCA_002966215.1_ASM296621v1|KY684087.1_48	69595	71613	recombinase	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684087.1	GCA_002966215.1_ASM296621v1|KY684087.1_52	76801	79275	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684088.1	GCA_002966215.1_ASM296621v1|KY684088.1_10	9799	10575	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684088.1	GCA_002966215.1_ASM296621v1|KY684088.1_22	26267	26578	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684089.1	GCA_002966215.1_ASM296621v1|KY684089.1_29	28176	28388	IS/transposase	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684089.1	GCA_002966215.1_ASM296621v1|KY684089.1_5	5646	6098	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684090.1	GCA_002966215.1_ASM296621v1|KY684090.1_24	18984	19322	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684090.1	IS5	49722	50893	IS/transposase	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684094.1	GCA_002966215.1_ASM296621v1|KY684094.1_1	1	1092	IS/transposase	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684094.1	GCA_002966215.1_ASM296621v1|KY684094.1_3	1958	2293	endonuclease	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684094.1	IS200/IS605	1	1092	IS/transposase	GCA.002966215.1.ASM296621v1
GCA_002966215.1_ASM296621v1|KY684095.1	GCA_002966215.1_ASM296621v1|KY684095.1_16	14964	15488	IS/transposase	GCA.002966215.1.ASM296621v1
GCA_002966235.1_ASM296623v1|KY684084.1	GCA_002966235.1_ASM296623v1|KY684084.1_147	155297	156160	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684084.1	GCA_002966235.1_ASM296623v1|KY684084.1_161	170188	172146	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684084.1	GCA_002966235.1_ASM296623v1|KY684084.1_167	175904	177220	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684084.1	GCA_002966235.1_ASM296623v1|KY684084.1_204	221721	223724	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684084.1	GCA_002966235.1_ASM296623v1|KY684084.1_204	221721	223724	recombinase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684084.1	GCA_002966235.1_ASM296623v1|KY684084.1_258	291740	295687	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684084.1	GCA_002966235.1_ASM296623v1|KY684084.1_294	330270	331334	resolvase	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684084.1	GCA_002966235.1_ASM296623v1|KY684084.1_63	66777	67772	endonuclease	GCA.002966235.1.ASM296623v1
GCA_002966235.1_ASM296623v1|KY684084.1	IS5	155182	156367	IS/transposase	GCA.002966235.1.ASM296623v1
GCA_002966255.1_ASM296625v1|KY684104.1	GCA_002966255.1_ASM296625v1|KY684104.1_125	138604	139848	resolvase	GCA.002966255.1.ASM296625v1
GCA_002966255.1_ASM296625v1|KY684104.1	GCA_002966255.1_ASM296625v1|KY684104.1_221	255414	256379	endonuclease	GCA.002966255.1.ASM296625v1
GCA_002966255.1_ASM296625v1|KY684104.1	GCA_002966255.1_ASM296625v1|KY684104.1_68	65821	66837	endonuclease	GCA.002966255.1.ASM296625v1
GCA_002966255.1_ASM296625v1|KY684104.1	GCA_002966255.1_ASM296625v1|KY684104.1_68	65821	66837	IS/transposase	GCA.002966255.1.ASM296625v1
GCA_002966255.1_ASM296625v1|KY684104.1	GCA_002966255.1_ASM296625v1|KY684104.1_89	93309	94115	endonuclease	GCA.002966255.1.ASM296625v1
GCA_002966255.1_ASM296625v1|KY684104.1	IS200/IS605	23349	23560	IS/transposase	GCA.002966255.1.ASM296625v1
GCA_002966255.1_ASM296625v1|KY684104.1	IS630	65434	66966	IS/transposase	GCA.002966255.1.ASM296625v1
GCA_002966255.1_ASM296625v1|KY684105.1	GCA_002966255.1_ASM296625v1|KY684105.1_95	134856	136751	endonuclease	GCA.002966255.1.ASM296625v1
GCA_002966255.1_ASM296625v1|KY684105.1	GCA_002966255.1_ASM296625v1|KY684105.1_95	134856	136751	recombinase	GCA.002966255.1.ASM296625v1
GCA_002966255.1_ASM296625v1|KY684106.1	GCA_002966255.1_ASM296625v1|KY684106.1_38	39928	40602	endonuclease	GCA.002966255.1.ASM296625v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_101	117293	118726	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_15	13623	16559	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_163	175733	180211	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_177	194702	196027	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_230	252234	253091	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_270	295413	296450	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_290	317136	317930	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_302	329770	331038	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_340	364504	365367	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_390	412232	413548	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_4	2834	3445	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_5	3429	4571	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_60	73437	74216	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_89	103788	105173	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684108.1	GCA_002966275.1_ASM296627v1|KY684108.1_96	111922	113694	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684109.1	GCA_002966275.1_ASM296627v1|KY684109.1_115	131992	133266	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684109.1	GCA_002966275.1_ASM296627v1|KY684109.1_157	172053	173327	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684109.1	GCA_002966275.1_ASM296627v1|KY684109.1_219	244615	246525	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684109.1	GCA_002966275.1_ASM296627v1|KY684109.1_219	244615	246525	recombinase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684109.1	GCA_002966275.1_ASM296627v1|KY684109.1_223	248113	249846	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684109.1	GCA_002966275.1_ASM296627v1|KY684109.1_246	271317	272900	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684109.1	GCA_002966275.1_ASM296627v1|KY684109.1_31	31144	32439	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684109.1	GCA_002966275.1_ASM296627v1|KY684109.1_46	59125	60162	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684109.1	IS607	100924	102522	IS/transposase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684112.1	GCA_002966275.1_ASM296627v1|KY684112.1_74	74193	75152	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684113.1	GCA_002966275.1_ASM296627v1|KY684113.1_48	39327	40361	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684113.1	GCA_002966275.1_ASM296627v1|KY684113.1_48	39327	40361	IS/transposase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684113.1	GCA_002966275.1_ASM296627v1|KY684113.1_51	42709	44700	IS/transposase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684113.1	GCA_002966275.1_ASM296627v1|KY684113.1_9	6021	7979	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684113.1	IS630	39287	40273	IS/transposase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684114.1	IS5	4826	5773	IS/transposase	GCA.002966275.1.ASM296627v1
GCA_002966275.1_ASM296627v1|KY684115.1	GCA_002966275.1_ASM296627v1|KY684115.1_8	7473	8057	endonuclease	GCA.002966275.1.ASM296627v1
GCA_002966435.1_ASM296643v1|KC008572.1	GCA_002966435.1_ASM296643v1|KC008572.1_246	225688	226761	endonuclease	GCA.002966435.1.ASM296643v1
GCA_002966435.1_ASM296643v1|KC008572.1	GCA_002966435.1_ASM296643v1|KC008572.1_327	302128	302661	endonuclease	GCA.002966435.1.ASM296643v1
GCA_002966435.1_ASM296643v1|KC008572.1	GCA_002966435.1_ASM296643v1|KC008572.1_392	384413	385294	endonuclease	GCA.002966435.1.ASM296643v1
GCA_002966435.1_ASM296643v1|KC008572.1	GCA_002966435.1_ASM296643v1|KC008572.1_465	461132	461437	recombinase	GCA.002966435.1.ASM296643v1
GCA_002966435.1_ASM296643v1|KC008572.1	GCA_002966435.1_ASM296643v1|KC008572.1_466	461794	462708	recombinase	GCA.002966435.1.ASM296643v1
GCA_002966435.1_ASM296643v1|KC008572.1	GCA_002966435.1_ASM296643v1|KC008572.1_508	513217	514512	endonuclease	GCA.002966435.1.ASM296643v1
GCA_002966435.1_ASM296643v1|KC008572.1	GCA_002966435.1_ASM296643v1|KC008572.1_568	577213	578241	endonuclease	GCA.002966435.1.ASM296643v1
GCA_002966435.1_ASM296643v1|KC008572.1	GCA_002966435.1_ASM296643v1|KC008572.1_588	605703	606311	resolvase	GCA.002966435.1.ASM296643v1
GCA_002966435.1_ASM296643v1|KC008572.1	GCA_002966435.1_ASM296643v1|KC008572.1_589	606317	606784	resolvase	GCA.002966435.1.ASM296643v1
GCA_002966435.1_ASM296643v1|KC008572.1	GCA_002966435.1_ASM296643v1|KC008572.1_648	679847	680323	endonuclease	GCA.002966435.1.ASM296643v1
GCA_002966435.1_ASM296643v1|KC008572.1	GCA_002966435.1_ASM296643v1|KC008572.1_685	724444	725292	endonuclease	GCA.002966435.1.ASM296643v1
GCA_002966435.1_ASM296643v1|KC008572.1	GCA_002966435.1_ASM296643v1|KC008572.1_689	727855	728922	endonuclease	GCA.002966435.1.ASM296643v1
GCA_002966435.1_ASM296643v1|KC008572.1	GCA_002966435.1_ASM296643v1|KC008572.1_790	839793	840770	endonuclease	GCA.002966435.1.ASM296643v1
GCA_003047755.1_ASM304775v1|FR682468.1	GCA_003047755.1_ASM304775v1|FR682468.1_119	145026	146063	recombinase	GCA.003047755.1.ASM304775v1
GCA_003047755.1_ASM304775v1|FR682468.1	GCA_003047755.1_ASM304775v1|FR682468.1_143	168177	169067	endonuclease	GCA.003047755.1.ASM304775v1
GCA_003051145.1_ASM305114v1|KU702949.1	GCA_003051145.1_ASM305114v1|KU702949.1_101	91788	92690	endonuclease	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	GCA_003051145.1_ASM305114v1|KU702949.1_210	198008	199408	IS/transposase	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	GCA_003051145.1_ASM305114v1|KU702949.1_252	227693	228526	endonuclease	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	GCA_003051145.1_ASM305114v1|KU702949.1_368	347011	348012	endonuclease	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	GCA_003051145.1_ASM305114v1|KU702949.1_386	361806	362954	endonuclease	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	GCA_003051145.1_ASM305114v1|KU702949.1_414	392358	393848	IS/transposase	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	GCA_003051145.1_ASM305114v1|KU702949.1_458	446060	447466	IS/transposase	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	GCA_003051145.1_ASM305114v1|KU702949.1_470	454047	455438	IS/transposase	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	GCA_003051145.1_ASM305114v1|KU702949.1_51	38654	39652	endonuclease	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	GCA_003051145.1_ASM305114v1|KU702949.1_51	38654	39652	recombinase	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	GCA_003051145.1_ASM305114v1|KU702949.1_54	40950	42344	IS/transposase	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	GCA_003051145.1_ASM305114v1|KU702949.1_65	56947	58446	IS/transposase	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	IS200/IS605	40950	42344	IS/transposase	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	IS200/IS605	56782	58483	IS/transposase	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	IS200/IS605	197848	199546	IS/transposase	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	IS607	392333	393991	IS/transposase	GCA.003051145.1.ASM305114v1
GCA_003051145.1_ASM305114v1|KU702949.1	IS607	445999	447578	IS/transposase	GCA.003051145.1.ASM305114v1
